STATN	REG_ID	YEAR	MONTH	Depth_interval	mean	count
BY15 GOTLANDSDJ	135404	1963	1	0-10 m		0
BY15 GOTLANDSDJ	135404	1963	8	0-10 m		0
BY15 GOTLANDSDJ	135404	1963	10	0-10 m		0
BY15 GOTLANDSDJ	135404	1964	1	0-10 m		0
BY15 GOTLANDSDJ	135404	1964	4	0-10 m		0
BY15 GOTLANDSDJ	135404	1964	8	0-10 m		0
BY15 GOTLANDSDJ	135404	1964	11	0-10 m		0
BY15 GOTLANDSDJ	135404	1965	1	0-10 m		0
BY15 GOTLANDSDJ	135404	1965	4	0-10 m		0
BY15 GOTLANDSDJ	135404	1965	6	0-10 m		0
BY15 GOTLANDSDJ	135404	1965	8	0-10 m		0
BY15 GOTLANDSDJ	135404	1965	12	0-10 m		0
BY15 GOTLANDSDJ	135404	1966	5	0-10 m		0
BY15 GOTLANDSDJ	135404	1966	8	0-10 m		0
BY15 GOTLANDSDJ	135404	1966	11	0-10 m		0
BY15 GOTLANDSDJ	135404	1967	2	0-10 m		0
BY15 GOTLANDSDJ	135404	1967	6	0-10 m		0
BY15 GOTLANDSDJ	135404	1967	12	0-10 m		0
BY15 GOTLANDSDJ	135404	1968	2	0-10 m		0
BY15 GOTLANDSDJ	135404	1968	6	0-10 m		0
BY15 GOTLANDSDJ	135404	1968	9	0-10 m		0
BY15 GOTLANDSDJ	135404	1968	11	0-10 m		0
BY15 GOTLANDSDJ	135404	1968	12	0-10 m		0
BY15 GOTLANDSDJ	135404	1969	1	0-10 m		0
BY15 GOTLANDSDJ	135404	1969	4	0-10 m		0
BY15 GOTLANDSDJ	135404	1969	11	0-10 m	13.25	3
BY15 GOTLANDSDJ	135404	1970	1	0-10 m		0
BY15 GOTLANDSDJ	135404	1970	6	0-10 m	17.1	1
BY15 GOTLANDSDJ	135404	1970	9	0-10 m	16.3	1
BY15 GOTLANDSDJ	135404	1970	10	0-10 m	14.3	1
BY15 GOTLANDSDJ	135404	1971	1	0-10 m	15.6	1
BY15 GOTLANDSDJ	135404	1971	4	0-10 m	13.6	1
BY15 GOTLANDSDJ	135404	1971	6	0-10 m		0
BY15 GOTLANDSDJ	135404	1971	7	0-10 m		0
BY15 GOTLANDSDJ	135404	1971	8	0-10 m	16.2	1
BY15 GOTLANDSDJ	135404	1971	12	0-10 m	17.1	1
BY15 GOTLANDSDJ	135404	1972	3	0-10 m	7.0	1
BY15 GOTLANDSDJ	135404	1972	5	0-10 m	10.8	1
BY15 GOTLANDSDJ	135404	1972	6	0-10 m		0
BY15 GOTLANDSDJ	135404	1972	7	0-10 m		0
BY15 GOTLANDSDJ	135404	1972	8	0-10 m	16.8	1
BY15 GOTLANDSDJ	135404	1972	10	0-10 m	14.2	1
BY15 GOTLANDSDJ	135404	1972	11	0-10 m		0
BY15 GOTLANDSDJ	135404	1973	1	0-10 m	6.0	1
BY15 GOTLANDSDJ	135404	1973	5	0-10 m	8.0	1
BY15 GOTLANDSDJ	135404	1973	6	0-10 m		0
BY15 GOTLANDSDJ	135404	1973	9	0-10 m	13.0	1
BY15 GOTLANDSDJ	135404	1974	2	0-10 m		0
BY15 GOTLANDSDJ	135404	1974	6	0-10 m		0
BY15 GOTLANDSDJ	135404	1974	9	0-10 m		0
BY15 GOTLANDSDJ	135404	1974	11	0-10 m	13.5	1
BY15 GOTLANDSDJ	135404	1975	3	0-10 m	14.0	1
BY15 GOTLANDSDJ	135404	1975	6	0-10 m		0
BY15 GOTLANDSDJ	135404	1975	9	0-10 m	19.0	1
BY15 GOTLANDSDJ	135404	1975	11	0-10 m	16.0	1
BY15 GOTLANDSDJ	135404	1976	3	0-10 m	19.333333333333332	1
BY15 GOTLANDSDJ	135404	1976	5	0-10 m		0
BY15 GOTLANDSDJ	135404	1976	6	0-10 m	14.0	1
BY15 GOTLANDSDJ	135404	1976	8	0-10 m	15.333333333333334	1
BY15 GOTLANDSDJ	135404	1976	11	0-10 m	13.0	1
BY15 GOTLANDSDJ	135404	1977	2	0-10 m		0
BY15 GOTLANDSDJ	135404	1977	3	0-10 m		0
BY15 GOTLANDSDJ	135404	1977	6	0-10 m	17.333333333333332	1
BY15 GOTLANDSDJ	135404	1977	7	0-10 m		0
BY15 GOTLANDSDJ	135404	1977	11	0-10 m	19.5	1
BY15 GOTLANDSDJ	135404	1978	1	0-10 m	18.5	1
BY15 GOTLANDSDJ	135404	1978	5	0-10 m	25.333333333333332	1
BY15 GOTLANDSDJ	135404	1978	6	0-10 m		0
BY15 GOTLANDSDJ	135404	1978	8	0-10 m	18.266666666666666	1
BY15 GOTLANDSDJ	135404	1978	11	0-10 m	16.433333333333334	1
BY15 GOTLANDSDJ	135404	1979	1	0-10 m	19.566666666666666	1
BY15 GOTLANDSDJ	135404	1979	6	0-10 m	16.55	1
BY15 GOTLANDSDJ	135404	1979	7	0-10 m	22.666666666666668	1
BY15 GOTLANDSDJ	135404	1979	8	0-10 m	21.133333333333333	1
BY15 GOTLANDSDJ	135404	1979	10	0-10 m		0
BY15 GOTLANDSDJ	135404	1979	11	0-10 m	19.85	1
BY15 GOTLANDSDJ	135404	1980	1	0-10 m	22.05	1
BY15 GOTLANDSDJ	135404	1980	5	0-10 m	19.633333333333333	1
BY15 GOTLANDSDJ	135404	1980	10	0-10 m	16.333333333333332	1
BY15 GOTLANDSDJ	135404	1981	3	0-10 m	20.666666666666668	1
BY15 GOTLANDSDJ	135404	1981	5	0-10 m	22.4	1
BY15 GOTLANDSDJ	135404	1981	11	0-10 m	18.425	1
