STATN	REG_ID	YEAR	Depth_interval	mean	count
BY15 GOTLANDSDJ	135404	1963	0-10 m		0
BY15 GOTLANDSDJ	135404	1964	0-10 m		0
BY15 GOTLANDSDJ	135404	1965	0-10 m		0
BY15 GOTLANDSDJ	135404	1966	0-10 m		0
BY15 GOTLANDSDJ	135404	1967	0-10 m		0
BY15 GOTLANDSDJ	135404	1968	0-10 m		0
BY15 GOTLANDSDJ	135404	1969	0-10 m	13.25	1
BY15 GOTLANDSDJ	135404	1970	0-10 m	15.9	3
BY15 GOTLANDSDJ	135404	1971	0-10 m	15.625	4
BY15 GOTLANDSDJ	135404	1972	0-10 m	12.2	4
BY15 GOTLANDSDJ	135404	1973	0-10 m	9.0	3
BY15 GOTLANDSDJ	135404	1974	0-10 m	13.5	1
BY15 GOTLANDSDJ	135404	1975	0-10 m	16.333333333333332	3
BY15 GOTLANDSDJ	135404	1976	0-10 m	15.416666666666666	4
BY15 GOTLANDSDJ	135404	1977	0-10 m	18.416666666666664	2
BY15 GOTLANDSDJ	135404	1978	0-10 m	19.633333333333333	4
BY15 GOTLANDSDJ	135404	1979	0-10 m	19.953333333333333	5
BY15 GOTLANDSDJ	135404	1980	0-10 m	19.33888888888889	3
BY15 GOTLANDSDJ	135404	1981	0-10 m	20.497222222222224	3
BY15 GOTLANDSDJ	135404	1982	0-10 m	18.54375	4
BY15 GOTLANDSDJ	135404	1983	0-10 m	19.15	4
BY15 GOTLANDSDJ	135404	1984	0-10 m	19.852083333333333	4
BY15 GOTLANDSDJ	135404	1985	0-10 m	21.364583333333332	4
BY15 GOTLANDSDJ	135404	1986	0-10 m	18.289583333333333	4
BY15 GOTLANDSDJ	135404	1987	0-10 m	20.33125	4
BY15 GOTLANDSDJ	135404	1988	0-10 m	20.204166666666666	4
BY15 GOTLANDSDJ	135404	1989	0-10 m	21.433333333333334	4
BY15 GOTLANDSDJ	135404	1990	0-10 m	21.212500000000002	4
BY15 GOTLANDSDJ	135404	1991	0-10 m	19.408333333333335	4
BY15 GOTLANDSDJ	135404	1992	0-10 m	22.71875	4
BY15 GOTLANDSDJ	135404	1993	0-10 m	22.38854166666667	8
BY15 GOTLANDSDJ	135404	1994	0-10 m	22.077499999999997	7
BY15 GOTLANDSDJ	135404	1995	0-10 m	22.916818181818183	11
BY15 GOTLANDSDJ	135404	1996	0-10 m	21.983958333333334	12
BY15 GOTLANDSDJ	135404	1997	0-10 m	19.237499999999997	9
BY15 GOTLANDSDJ	135404	1998	0-10 m	20.044318181818184	11
BY15 GOTLANDSDJ	135404	1999	0-10 m	21.993939393939396	11
BY15 GOTLANDSDJ	135404	2000	0-10 m	21.370454545454546	11
BY15 GOTLANDSDJ	135404	2001	0-10 m	20.035	10
BY15 GOTLANDSDJ	135404	2002	0-10 m	21.32	10
BY15 GOTLANDSDJ	135404	2003	0-10 m	20.010416666666668	12
BY15 GOTLANDSDJ	135404	2004	0-10 m	20.318055555555556	12
BY15 GOTLANDSDJ	135404	2005	0-10 m	21.565151515151516	11
BY15 GOTLANDSDJ	135404	2006	0-10 m	21.63181818181818	11
BY15 GOTLANDSDJ	135404	2007	0-10 m	21.069444444444443	12
BY15 GOTLANDSDJ	135404	2008	0-10 m	22.03333333333333	12
BY15 GOTLANDSDJ	135404	2009	0-10 m	21.07777777777778	12
BY15 GOTLANDSDJ	135404	2010	0-10 m	21.355555555555554	12
BY15 GOTLANDSDJ	135404	2011	0-10 m	21.376666666666665	10
BY15 GOTLANDSDJ	135404	2012	0-10 m	21.355555555555554	3
BY15 GOTLANDSDJ	135404	2013	0-10 m	21.197916666666668	8
BY15 GOTLANDSDJ	135404	2014	0-10 m	21.796666666666667	10
BY15 GOTLANDSDJ	135404	2015	0-10 m	19.91111111111111	9
BY15 GOTLANDSDJ	135404	2016	0-10 m	21.727777777777778	12
BY15 GOTLANDSDJ	135404	2017	0-10 m	22.51666666666667	10
BY15 GOTLANDSDJ	135404	2018	0-10 m	22.061904761904763	7
BY15 GOTLANDSDJ	135404	2019	0-10 m	21.505555555555556	12
BY15 GOTLANDSDJ	135404	2020	0-10 m	21.561111111111114	12
BY15 GOTLANDSDJ	135404	2021	0-10 m	21.90416666666667	12
BY15 GOTLANDSDJ	135404	2022	0-10 m	20.405	10
BY15 GOTLANDSDJ	135404	2023	0-10 m	19.808333333333334	8
BY15 GOTLANDSDJ	135404	2024	0-10 m		0
BY5 BORNHOLMSDJ	135402	1960	0-10 m		0
BY5 BORNHOLMSDJ	135402	1961	0-10 m		0
BY5 BORNHOLMSDJ	135402	1962	0-10 m		0
BY5 BORNHOLMSDJ	135402	1963	0-10 m		0
BY5 BORNHOLMSDJ	135402	1964	0-10 m		0
BY5 BORNHOLMSDJ	135402	1965	0-10 m		0
BY5 BORNHOLMSDJ	135402	1966	0-10 m		0
BY5 BORNHOLMSDJ	135402	1967	0-10 m		0
BY5 BORNHOLMSDJ	135402	1968	0-10 m		0
BY5 BORNHOLMSDJ	135402	1969	0-10 m	15.7	1
BY5 BORNHOLMSDJ	135402	1970	0-10 m	13.716666666666667	3
BY5 BORNHOLMSDJ	135402	1971	0-10 m	12.575	4
BY5 BORNHOLMSDJ	135402	1972	0-10 m	15.266666666666666	3
BY5 BORNHOLMSDJ	135402	1973	0-10 m	10.066666666666666	3
BY5 BORNHOLMSDJ	135402	1974	0-10 m	9.6	2
BY5 BORNHOLMSDJ	135402	1975	0-10 m	17.766666666666666	4
BY5 BORNHOLMSDJ	135402	1976	0-10 m	13.416666666666668	4
BY5 BORNHOLMSDJ	135402	1977	0-10 m	17.066666666666666	5
BY5 BORNHOLMSDJ	135402	1978	0-10 m	18.255555555555556	3
BY5 BORNHOLMSDJ	135402	1979	0-10 m	19.686666666666667	5
BY5 BORNHOLMSDJ	135402	1980	0-10 m	16.744444444444444	3
BY5 BORNHOLMSDJ	135402	1981	0-10 m	19.122222222222224	3
BY5 BORNHOLMSDJ	135402	1982	0-10 m	18.243750000000002	4
BY5 BORNHOLMSDJ	135402	1983	0-10 m	19.45	5
BY5 BORNHOLMSDJ	135402	1984	0-10 m	18.125	4
BY5 BORNHOLMSDJ	135402	1985	0-10 m	19.45	3
BY5 BORNHOLMSDJ	135402	1986	0-10 m	18.90416666666667	4
BY5 BORNHOLMSDJ	135402	1987	0-10 m	19.745833333333334	4
BY5 BORNHOLMSDJ	135402	1988	0-10 m	19.529166666666665	4
BY5 BORNHOLMSDJ	135402	1989	0-10 m	22.210416666666667	4
BY5 BORNHOLMSDJ	135402	1990	0-10 m	21.222916666666666	4
BY5 BORNHOLMSDJ	135402	1991	0-10 m	20.09375	4
BY5 BORNHOLMSDJ	135402	1992	0-10 m	19.42222222222222	6
BY5 BORNHOLMSDJ	135402	1993	0-10 m	21.202604166666667	8
BY5 BORNHOLMSDJ	135402	1994	0-10 m	23.348888888888887	9
BY5 BORNHOLMSDJ	135402	1995	0-10 m	22.62708333333333	12
BY5 BORNHOLMSDJ	135402	1996	0-10 m	21.058333333333334	12
BY5 BORNHOLMSDJ	135402	1997	0-10 m	19.789772727272727	11
BY5 BORNHOLMSDJ	135402	1998	0-10 m	20.38787878787879	11
BY5 BORNHOLMSDJ	135402	1999	0-10 m	21.029166666666665	12
BY5 BORNHOLMSDJ	135402	2000	0-10 m	20.004545454545454	11
BY5 BORNHOLMSDJ	135402	2001	0-10 m	19.007575757575758	11
BY5 BORNHOLMSDJ	135402	2002	0-10 m	19.721212121212123	11
BY5 BORNHOLMSDJ	135402	2003	0-10 m	19.451515151515153	11
BY5 BORNHOLMSDJ	135402	2004	0-10 m	18.73611111111111	12
BY5 BORNHOLMSDJ	135402	2005	0-10 m	19.496969696969696	11
BY5 BORNHOLMSDJ	135402	2006	0-10 m	20.184848484848484	11
BY5 BORNHOLMSDJ	135402	2007	0-10 m	19.972727272727273	11
BY5 BORNHOLMSDJ	135402	2008	0-10 m	20.974999999999998	12
BY5 BORNHOLMSDJ	135402	2009	0-10 m	20.066666666666666	12
BY5 BORNHOLMSDJ	135402	2010	0-10 m	20.28939393939394	11
BY5 BORNHOLMSDJ	135402	2011	0-10 m	20.263333333333332	10
BY5 BORNHOLMSDJ	135402	2012	0-10 m	19.791666666666668	8
BY5 BORNHOLMSDJ	135402	2013	0-10 m	20.822727272727274	11
BY5 BORNHOLMSDJ	135402	2014	0-10 m	20.734333333333332	10
BY5 BORNHOLMSDJ	135402	2015	0-10 m	20.155555555555555	9
BY5 BORNHOLMSDJ	135402	2016	0-10 m	21.575	12
BY5 BORNHOLMSDJ	135402	2017	0-10 m	21.180303030303033	11
BY5 BORNHOLMSDJ	135402	2018	0-10 m	21.704761904761906	7
BY5 BORNHOLMSDJ	135402	2019	0-10 m	20.3	12
BY5 BORNHOLMSDJ	135402	2020	0-10 m	20.591666666666665	12
BY5 BORNHOLMSDJ	135402	2021	0-10 m	20.316666666666666	12
BY5 BORNHOLMSDJ	135402	2022	0-10 m	19.133333333333333	11
BY5 BORNHOLMSDJ	135402	2023	0-10 m	18.583333333333336	8
BY5 BORNHOLMSDJ	135402	2024	0-10 m		0
F9 / A13	135300	1968	0-10 m		0
F9 / A13	135300	1970	0-10 m		0
F9 / A13	135300	1972	0-10 m	11.0	1
F9 / A13	135300	1974	0-10 m	12.4	1
F9 / A13	135300	1975	0-10 m	14.333333333333334	2
F9 / A13	135300	1976	0-10 m	14.416666666666668	2
F9 / A13	135300	1977	0-10 m	20.0	2
F9 / A13	135300	1978	0-10 m	17.616666666666667	2
F9 / A13	135300	1979	0-10 m	20.425	2
F9 / A13	135300	1980	0-10 m	17.299999999999997	2
F9 / A13	135300	1981	0-10 m	19.066666666666666	2
F9 / A13	135300	1982	0-10 m	18.21666666666667	2
F9 / A13	135300	1983	0-10 m	20.627777777777776	3
F9 / A13	135300	1984	0-10 m	21.891666666666666	2
F9 / A13	135300	1985	0-10 m	20.625	2
F9 / A13	135300	1986	0-10 m	19.933333333333334	3
F9 / A13	135300	1987	0-10 m	21.10625	2
F9 / A13	135300	1988	0-10 m	24.125	1
F9 / A13	135300	1989	0-10 m	19.291666666666668	3
F9 / A13	135300	1990	0-10 m	21.575	2
F9 / A13	135300	1991	0-10 m	16.0	1
F9 / A13	135300	1992	0-10 m	19.619666666666667	5
F9 / A13	135300	1993	0-10 m	19.24363333333333	10
F9 / A13	135300	1994	0-10 m	18.513143939393938	11
F9 / A13	135300	1995	0-10 m	18.11608024691358	9
F9 / A13	135300	1996	0-10 m	17.995479797979797	11
F9 / A13	135300	1997	0-10 m	17.81830808080808	11
F9 / A13	135300	1998	0-10 m	18.626875000000002	8
F9 / A13	135300	1999	0-10 m	17.367916666666666	8
F9 / A13	135300	2000	0-10 m	18.08125	10
F9 / A13	135300	2001	0-10 m	19.549	10
F9 / A13	135300	2002	0-10 m	18.444444444444443	9
F9 / A13	135300	2003	0-10 m	18.612333333333332	10
F9 / A13	135300	2004	0-10 m	17.828333333333333	8
F9 / A13	135300	2005	0-10 m	17.786458333333332	8
F9 / A13	135300	2006	0-10 m	18.37125	8
F9 / A13	135300	2007	0-10 m	19.467407407407407	9
F9 / A13	135300	2008	0-10 m	18.647708333333334	8
F9 / A13	135300	2009	0-10 m	18.983148148148146	9
F9 / A13	135300	2010	0-10 m	18.385185185185186	9
F9 / A13	135300	2011	0-10 m	17.300520833333334	8
F9 / A13	135300	2012	0-10 m	19.05675925925926	9
F9 / A13	135300	2013	0-10 m	18.848166666666664	10
F9 / A13	135300	2014	0-10 m	19.13740740740741	9
F9 / A13	135300	2015	0-10 m	18.774444444444445	9
F9 / A13	135300	2016	0-10 m	19.508000000000003	10
F9 / A13	135300	2017	0-10 m	18.016851851851854	9
F9 / A13	135300	2018	0-10 m	17.50433333333333	10
F9 / A13	135300	2019	0-10 m	17.699444444444445	9
F9 / A13	135300	2020	0-10 m	18.152333333333335	10
F9 / A13	135300	2021	0-10 m	18.179583333333333	8
F9 / A13	135300	2022	0-10 m	18.087	10
FLADEN	157752	1965	0-10 m		0
FLADEN	157752	1966	0-10 m		0
FLADEN	157752	1967	0-10 m		0
FLADEN	157752	1968	0-10 m		0
FLADEN	157752	1969	0-10 m	25.2	1
FLADEN	157752	1970	0-10 m	23.98333333333333	3
FLADEN	157752	1971	0-10 m	18.15	2
FLADEN	157752	1972	0-10 m	15.550000000000002	3
FLADEN	157752	1973	0-10 m	10.0	1
FLADEN	157752	1974	0-10 m		0
FLADEN	157752	1975	0-10 m	19.0	1
FLADEN	157752	1976	0-10 m	11.0	1
FLADEN	157752	1977	0-10 m	21.833333333333332	4
FLADEN	157752	1978	0-10 m	19.2	5
FLADEN	157752	1979	0-10 m	18.549999999999997	2
FLADEN	157752	1980	0-10 m	19.544791666666665	4
FLADEN	157752	1981	0-10 m	23.675	3
FLADEN	157752	1982	0-10 m	17.251666666666665	5
FLADEN	157752	1983	0-10 m	19.765833333333337	5
FLADEN	157752	1984	0-10 m	17.465	5
FLADEN	157752	1985	0-10 m	18.813333333333333	5
FLADEN	157752	1986	0-10 m	17.758333333333333	5
FLADEN	157752	1987	0-10 m	18.690555555555555	5
FLADEN	157752	1988	0-10 m	19.29047619047619	7
FLADEN	157752	1989	0-10 m	18.34236111111111	8
FLADEN	157752	1990	0-10 m	19.688333333333333	5
FLADEN	157752	1991	0-10 m	18.27996031746032	7
FLADEN	157752	1992	0-10 m	15.813888888888888	6
FLADEN	157752	1993	0-10 m	17.970833333333335	11
FLADEN	157752	1994	0-10 m	21.7075	9
FLADEN	157752	1995	0-10 m	19.60719696969697	11
FLADEN	157752	1996	0-10 m	16.724305555555556	12
FLADEN	157752	1997	0-10 m	16.285984848484848	11
FLADEN	157752	1998	0-10 m	17.243181818181817	11
FLADEN	157752	1999	0-10 m	18.84027777777778	12
FLADEN	157752	2000	0-10 m	18.03638888888889	12
FLADEN	157752	2001	0-10 m	18.20925925925926	12
FLADEN	157752	2002	0-10 m	19.043939393939393	11
FLADEN	157752	2003	0-10 m	15.501388888888888	12
FLADEN	157752	2004	0-10 m	15.154166666666667	12
