STATN	REG_ID	YEAR	MONTH	Depth_interval	mean	count
BY15 GOTLANDSDJ	135404	1963	1	>= 225.0 m	0.16999999999999998	1
BY15 GOTLANDSDJ	135404	1963	8	>= 225.0 m	0.0	1
BY15 GOTLANDSDJ	135404	1963	10	>= 225.0 m	0.0	1
BY15 GOTLANDSDJ	135404	1964	1	>= 225.0 m	0.18	1
BY15 GOTLANDSDJ	135404	1964	4	>= 225.0 m	1.915	1
BY15 GOTLANDSDJ	135404	1964	8	>= 225.0 m	1.0875	2
BY15 GOTLANDSDJ	135404	1964	11	>= 225.0 m	0.9199999999999999	1
BY15 GOTLANDSDJ	135404	1965	1	>= 225.0 m	1.2349999999999999	1
BY15 GOTLANDSDJ	135404	1965	4	>= 225.0 m	1.92	1
BY15 GOTLANDSDJ	135404	1965	6	>= 225.0 m	1.005	1
BY15 GOTLANDSDJ	135404	1965	8	>= 225.0 m	0.625	1
BY15 GOTLANDSDJ	135404	1965	12	>= 225.0 m	0.25	1
BY15 GOTLANDSDJ	135404	1966	5	>= 225.0 m	0.17500000000000002	1
BY15 GOTLANDSDJ	135404	1966	8	>= 225.0 m	0.025	1
BY15 GOTLANDSDJ	135404	1966	11	>= 225.0 m		0
BY15 GOTLANDSDJ	135404	1967	2	>= 225.0 m	-0.7876440000000001	1
BY15 GOTLANDSDJ	135404	1967	6	>= 225.0 m	1.45	1
BY15 GOTLANDSDJ	135404	1967	12	>= 225.0 m	-0.206448	1
BY15 GOTLANDSDJ	135404	1968	2	>= 225.0 m	-0.43309200000000003	1
BY15 GOTLANDSDJ	135404	1968	6	>= 225.0 m	-1.404744	1
BY15 GOTLANDSDJ	135404	1968	9	>= 225.0 m	-1.153416	1
BY15 GOTLANDSDJ	135404	1968	11	>= 225.0 m	-1.5573360000000003	1
BY15 GOTLANDSDJ	135404	1968	12	>= 225.0 m		0
BY15 GOTLANDSDJ	135404	1969	1	>= 225.0 m	-2.1617667500000004	6
BY15 GOTLANDSDJ	135404	1969	4	>= 225.0 m	-2.2075243142857146	6
BY15 GOTLANDSDJ	135404	1969	11	>= 225.0 m	1.5263888888888888	3
BY15 GOTLANDSDJ	135404	1970	1	>= 225.0 m	0.9887	5
BY15 GOTLANDSDJ	135404	1970	6	>= 225.0 m	0.3575	2
BY15 GOTLANDSDJ	135404	1970	9	>= 225.0 m	0.55	1
BY15 GOTLANDSDJ	135404	1970	10	>= 225.0 m	0.31	1
BY15 GOTLANDSDJ	135404	1971	1	>= 225.0 m	0.165	1
BY15 GOTLANDSDJ	135404	1971	4	>= 225.0 m	0.165	1
BY15 GOTLANDSDJ	135404	1971	6	>= 225.0 m	0.04	1
BY15 GOTLANDSDJ	135404	1971	7	>= 225.0 m	0.11	1
BY15 GOTLANDSDJ	135404	1971	8	>= 225.0 m	-0.39718800000000004	1
BY15 GOTLANDSDJ	135404	1971	12	>= 225.0 m	-0.8235480000000001	1
