STATN	REG_ID	YEAR	Depth_interval	mean	count
BY15 GOTLANDSDJ	135404	1963	>= 225.0 m	0.056666666666666664	3
BY15 GOTLANDSDJ	135404	1964	>= 225.0 m	1.025625	4
BY15 GOTLANDSDJ	135404	1965	>= 225.0 m	1.0070000000000001	5
BY15 GOTLANDSDJ	135404	1966	>= 225.0 m	0.1	2
BY15 GOTLANDSDJ	135404	1967	>= 225.0 m	0.1519693333333333	3
BY15 GOTLANDSDJ	135404	1968	>= 225.0 m	-1.1371470000000001	4
BY15 GOTLANDSDJ	135404	1969	>= 225.0 m	-0.9476340584656088	3
BY15 GOTLANDSDJ	135404	1970	>= 225.0 m	0.55155	4
BY15 GOTLANDSDJ	135404	1971	>= 225.0 m	-0.12345600000000001	6
BY15 GOTLANDSDJ	135404	1972	>= 225.0 m	0.7872764999999999	8
BY15 GOTLANDSDJ	135404	1973	>= 225.0 m	0.1583715	4
BY15 GOTLANDSDJ	135404	1974	>= 225.0 m	-0.245489	4
BY15 GOTLANDSDJ	135404	1975	>= 225.0 m	-0.7854000000000001	4
BY15 GOTLANDSDJ	135404	1976	>= 225.0 m	0.336504	5
BY15 GOTLANDSDJ	135404	1977	>= 225.0 m	1.332	5
BY15 GOTLANDSDJ	135404	1978	>= 225.0 m	-0.059616800000000046	5
BY15 GOTLANDSDJ	135404	1979	>= 225.0 m	-0.4757606666666667	6
BY15 GOTLANDSDJ	135404	1980	>= 225.0 m	-0.670956	3
BY15 GOTLANDSDJ	135404	1981	>= 225.0 m	-1.212508	3
BY15 GOTLANDSDJ	135404	1982	>= 225.0 m	-1.6975860000000003	4
BY15 GOTLANDSDJ	135404	1983	>= 225.0 m	-1.188198	4
BY15 GOTLANDSDJ	135404	1984	>= 225.0 m	-2.2277310000000003	4
BY15 GOTLANDSDJ	135404	1985	>= 225.0 m	-2.7752670000000004	4
BY15 GOTLANDSDJ	135404	1986	>= 225.0 m	-2.095896	4
BY15 GOTLANDSDJ	135404	1987	>= 225.0 m	-2.6883120000000003	4
BY15 GOTLANDSDJ	135404	1988	>= 225.0 m	-2.167704	1
BY15 GOTLANDSDJ	135404	1989	>= 225.0 m	-2.970495	4
BY15 GOTLANDSDJ	135404	1990	>= 225.0 m	-5.037780000000001	1
BY15 GOTLANDSDJ	135404	1991	>= 225.0 m	-3.1086880000000003	3
BY15 GOTLANDSDJ	135404	1992	>= 225.0 m	-3.262776	5
BY15 GOTLANDSDJ	135404	1993	>= 225.0 m	-0.49701533333333336	8
BY15 GOTLANDSDJ	135404	1994	>= 225.0 m	1.2953994	10
BY15 GOTLANDSDJ	135404	1995	>= 225.0 m	0.7483564814814815	12
BY15 GOTLANDSDJ	135404	1996	>= 225.0 m	-0.4426655	12
BY15 GOTLANDSDJ	135404	1997	>= 225.0 m	-0.795609	10
BY15 GOTLANDSDJ	135404	1998	>= 225.0 m	-0.5884848484848486	11
BY15 GOTLANDSDJ	135404	1999	>= 225.0 m	-2.6401000000000003	11
BY15 GOTLANDSDJ	135404	2000	>= 225.0 m	-4.0596000000000005	11
BY15 GOTLANDSDJ	135404	2001	>= 225.0 m	-4.997388	10
BY15 GOTLANDSDJ	135404	2002	>= 225.0 m	-3.9124659999999998	10
BY15 GOTLANDSDJ	135404	2003	>= 225.0 m	0.39478666666666656	12
BY15 GOTLANDSDJ	135404	2004	>= 225.0 m	-0.05099388888888889	12
BY15 GOTLANDSDJ	135404	2005	>= 225.0 m	-1.6489412121212121	11
BY15 GOTLANDSDJ	135404	2006	>= 225.0 m	-2.8774200000000003	11
BY15 GOTLANDSDJ	135404	2007	>= 225.0 m	-1.2473316666666667	12
BY15 GOTLANDSDJ	135404	2008	>= 225.0 m	-2.95834	12
BY15 GOTLANDSDJ	135404	2009	>= 225.0 m	-4.187865	12
BY15 GOTLANDSDJ	135404	2010	>= 225.0 m	-5.59572	11
BY15 GOTLANDSDJ	135404	2011	>= 225.0 m	-5.473116	10
BY15 GOTLANDSDJ	135404	2012	>= 225.0 m	-5.6492700000000005	4
BY15 GOTLANDSDJ	135404	2013	>= 225.0 m	-6.224295000000001	8
BY15 GOTLANDSDJ	135404	2014	>= 225.0 m	-1.99894	10
BY15 GOTLANDSDJ	135404	2015	>= 225.0 m	0.5859066666666668	9
BY15 GOTLANDSDJ	135404	2016	>= 225.0 m	0.2884509090909091	11
BY15 GOTLANDSDJ	135404	2017	>= 225.0 m	-0.8482320000000001	10
BY15 GOTLANDSDJ	135404	2018	>= 225.0 m	-2.2151485714285717	7
BY15 GOTLANDSDJ	135404	2019	>= 225.0 m	-3.5156000000000005	12
BY15 GOTLANDSDJ	135404	2020	>= 225.0 m	-4.21668	11
BY15 GOTLANDSDJ	135404	2021	>= 225.0 m	-5.1069700000000005	12
BY15 GOTLANDSDJ	135404	2022	>= 225.0 m	-6.36174	10
BY15 GOTLANDSDJ	135404	2023	>= 225.0 m	-6.8292399999999995	12
BY15 GOTLANDSDJ	135404	2024	>= 225.0 m	-6.88908	1
BY5 BORNHOLMSDJ	135402	1960	>= 80.0 m	3.4575	4
BY5 BORNHOLMSDJ	135402	1961	>= 80.0 m	2.18375	4
BY5 BORNHOLMSDJ	135402	1962	>= 80.0 m	1.03875	4
BY5 BORNHOLMSDJ	135402	1963	>= 80.0 m	1.7725	2
BY5 BORNHOLMSDJ	135402	1964	>= 80.0 m	1.5255	5
BY5 BORNHOLMSDJ	135402	1965	>= 80.0 m	2.051	5
BY5 BORNHOLMSDJ	135402	1966	>= 80.0 m	1.31	5
BY5 BORNHOLMSDJ	135402	1967	>= 80.0 m	1.4921428571428572	7
BY5 BORNHOLMSDJ	135402	1968	>= 80.0 m	0.4831388571428571	7
BY5 BORNHOLMSDJ	135402	1969	>= 80.0 m	3.5585714285714283	7
BY5 BORNHOLMSDJ	135402	1970	>= 80.0 m	1.3411458333333333	8
BY5 BORNHOLMSDJ	135402	1971	>= 80.0 m	0.2379645	8
BY5 BORNHOLMSDJ	135402	1972	>= 80.0 m	3.2901041666666666	8
BY5 BORNHOLMSDJ	135402	1973	>= 80.0 m	1.3261904761904761	7
BY5 BORNHOLMSDJ	135402	1974	>= 80.0 m	1.4175	5
BY5 BORNHOLMSDJ	135402	1975	>= 80.0 m	0.23059706666666666	5
BY5 BORNHOLMSDJ	135402	1976	>= 80.0 m	4.398750000000001	6
BY5 BORNHOLMSDJ	135402	1977	>= 80.0 m	1.349	5
BY5 BORNHOLMSDJ	135402	1978	>= 80.0 m	0.9858333333333332	6
BY5 BORNHOLMSDJ	135402	1979	>= 80.0 m	1.1993333333333334	5
BY5 BORNHOLMSDJ	135402	1980	>= 80.0 m	3.5133333333333336	3
BY5 BORNHOLMSDJ	135402	1981	>= 80.0 m	0.45075200000000004	3
BY5 BORNHOLMSDJ	135402	1982	>= 80.0 m	0.048168	4
BY5 BORNHOLMSDJ	135402	1983	>= 80.0 m	1.802	5
BY5 BORNHOLMSDJ	135402	1984	>= 80.0 m	0.605444	4
BY5 BORNHOLMSDJ	135402	1985	>= 80.0 m	1.175	4
BY5 BORNHOLMSDJ	135402	1986	>= 80.0 m	0.9075	4
BY5 BORNHOLMSDJ	135402	1987	>= 80.0 m	0.076256	4
BY5 BORNHOLMSDJ	135402	1988	>= 80.0 m	-0.4712370000000001	4
BY5 BORNHOLMSDJ	135402	1989	>= 80.0 m	0.010294999999999999	4
BY5 BORNHOLMSDJ	135402	1990	>= 80.0 m	0.23255800000000001	4
BY5 BORNHOLMSDJ	135402	1991	>= 80.0 m	1.9125	4
BY5 BORNHOLMSDJ	135402	1992	>= 80.0 m	2.09875	6
