STATN	REG_ID	YEAR	MONTH	Depth_interval	mean	count
BY15 GOTLANDSDJ	135404	1963	1	>= 225.0 m	2.0967647058199215	1
BY15 GOTLANDSDJ	135404	1963	8	>= 225.0 m	0.0	1
BY15 GOTLANDSDJ	135404	1963	10	>= 225.0 m	0.0	1
BY15 GOTLANDSDJ	135404	1964	1	>= 225.0 m	2.223422675884722	1
BY15 GOTLANDSDJ	135404	1964	4	>= 225.0 m	23.917353533020965	1
BY15 GOTLANDSDJ	135404	1964	8	>= 225.0 m	13.550804639010845	2
BY15 GOTLANDSDJ	135404	1964	11	>= 225.0 m	11.392360347013188	1
BY15 GOTLANDSDJ	135404	1965	1	>= 225.0 m	15.25333308330291	1
BY15 GOTLANDSDJ	135404	1965	4	>= 225.0 m	24.125047851057257	1
BY15 GOTLANDSDJ	135404	1965	6	>= 225.0 m	12.568956515887734	1
BY15 GOTLANDSDJ	135404	1965	8	>= 225.0 m	7.79279400557818	1
BY15 GOTLANDSDJ	135404	1965	12	>= 225.0 m	3.113693921666223	1
BY15 GOTLANDSDJ	135404	1966	5	>= 225.0 m	2.1770192658191743	1
BY15 GOTLANDSDJ	135404	1966	8	>= 225.0 m	0.3109544947168161	1
BY15 GOTLANDSDJ	135404	1966	11	>= 225.0 m		0
BY15 GOTLANDSDJ	135404	1967	2	>= 225.0 m		0
BY15 GOTLANDSDJ	135404	1967	6	>= 225.0 m	18.089697053653264	1
BY15 GOTLANDSDJ	135404	1967	12	>= 225.0 m	0.0	1
BY15 GOTLANDSDJ	135404	1968	2	>= 225.0 m		0
BY15 GOTLANDSDJ	135404	1968	6	>= 225.0 m	0.0	1
BY15 GOTLANDSDJ	135404	1968	9	>= 225.0 m		0
BY15 GOTLANDSDJ	135404	1968	11	>= 225.0 m		0
BY15 GOTLANDSDJ	135404	1968	12	>= 225.0 m		0
BY15 GOTLANDSDJ	135404	1969	1	>= 225.0 m		0
BY15 GOTLANDSDJ	135404	1969	4	>= 225.0 m		0
