STATN	REG_ID	YEAR	Depth_interval	mean	count
BY15 GOTLANDSDJ	135404	1963	>= 225.0 m	0.6989215686066405	3
BY15 GOTLANDSDJ	135404	1964	>= 225.0 m	12.77098529873243	4
BY15 GOTLANDSDJ	135404	1965	>= 225.0 m	12.57076507549846	5
BY15 GOTLANDSDJ	135404	1966	>= 225.0 m	1.2439868802679952	2
BY15 GOTLANDSDJ	135404	1967	>= 225.0 m	9.044848526826632	2
BY15 GOTLANDSDJ	135404	1968	>= 225.0 m	0.0	1
BY15 GOTLANDSDJ	135404	1969	>= 225.0 m	18.90247884083015	1
BY15 GOTLANDSDJ	135404	1970	>= 225.0 m	6.903813490114014	4
BY15 GOTLANDSDJ	135404	1971	>= 225.0 m	0.9899711136653323	6
BY15 GOTLANDSDJ	135404	1972	>= 225.0 m	13.301976929556664	8
BY15 GOTLANDSDJ	135404	1973	>= 225.0 m	2.923962071809056	4
BY15 GOTLANDSDJ	135404	1974	>= 225.0 m	0.7712168020149143	4
BY15 GOTLANDSDJ	135404	1975	>= 225.0 m	0.0	4
BY15 GOTLANDSDJ	135404	1976	>= 225.0 m	6.520073909036618	5
BY15 GOTLANDSDJ	135404	1977	>= 225.0 m	17.17814871881036	5
BY15 GOTLANDSDJ	135404	1978	>= 225.0 m	2.0080766459327104	5
BY15 GOTLANDSDJ	135404	1979	>= 225.0 m	0.0	5
BY15 GOTLANDSDJ	135404	1980	>= 225.0 m	0.0	3
BY15 GOTLANDSDJ	135404	1981	>= 225.0 m	0.0	3
BY15 GOTLANDSDJ	135404	1982	>= 225.0 m	0.0	3
BY15 GOTLANDSDJ	135404	1983	>= 225.0 m	0.0	4
BY15 GOTLANDSDJ	135404	1984	>= 225.0 m	0.0	4
BY15 GOTLANDSDJ	135404	1985	>= 225.0 m	0.0	4
BY15 GOTLANDSDJ	135404	1986	>= 225.0 m	0.0	4
BY15 GOTLANDSDJ	135404	1987	>= 225.0 m	0.0	4
BY15 GOTLANDSDJ	135404	1988	>= 225.0 m	0.0	4
BY15 GOTLANDSDJ	135404	1989	>= 225.0 m	0.0	4
BY15 GOTLANDSDJ	135404	1990	>= 225.0 m	0.0	2
BY15 GOTLANDSDJ	135404	1991	>= 225.0 m	0.0	3
BY15 GOTLANDSDJ	135404	1992	>= 225.0 m	0.0	5
BY15 GOTLANDSDJ	135404	1993	>= 225.0 m	3.2705382929059064	8
BY15 GOTLANDSDJ	135404	1994	>= 225.0 m	19.181936139834843	10
BY15 GOTLANDSDJ	135404	1995	>= 225.0 m	9.014212803360579	12
BY15 GOTLANDSDJ	135404	1996	>= 225.0 m	1.00758259614949	12
BY15 GOTLANDSDJ	135404	1997	>= 225.0 m	1.2841960455470036	10
BY15 GOTLANDSDJ	135404	1998	>= 225.0 m	2.537465538791717	11
BY15 GOTLANDSDJ	135404	1999	>= 225.0 m	0.0	11
BY15 GOTLANDSDJ	135404	2000	>= 225.0 m	0.0	11
BY15 GOTLANDSDJ	135404	2001	>= 225.0 m	0.0	10
BY15 GOTLANDSDJ	135404	2002	>= 225.0 m	0.9504872604248839	10
BY15 GOTLANDSDJ	135404	2003	>= 225.0 m	18.90019446326588	12
BY15 GOTLANDSDJ	135404	2004	>= 225.0 m	4.162872997619983	12
BY15 GOTLANDSDJ	135404	2005	>= 225.0 m	0.09828110048223326	11
BY15 GOTLANDSDJ	135404	2006	>= 225.0 m	0.0	11
BY15 GOTLANDSDJ	135404	2007	>= 225.0 m	0.2993143723178144	12
BY15 GOTLANDSDJ	135404	2008	>= 225.0 m	0.0	12
BY15 GOTLANDSDJ	135404	2009	>= 225.0 m	0.0	12
BY15 GOTLANDSDJ	135404	2010	>= 225.0 m	0.0	11
BY15 GOTLANDSDJ	135404	2011	>= 225.0 m	0.0	9
BY15 GOTLANDSDJ	135404	2012	>= 225.0 m	0.0	4
BY15 GOTLANDSDJ	135404	2013	>= 225.0 m	0.0	8
BY15 GOTLANDSDJ	135404	2014	>= 225.0 m	5.4486437951346325	3
BY15 GOTLANDSDJ	135404	2015	>= 225.0 m	8.931329121700935	8
BY15 GOTLANDSDJ	135404	2016	>= 225.0 m	6.173928008893986	10
BY15 GOTLANDSDJ	135404	2017	>= 225.0 m	1.2880801949074305	3
BY15 GOTLANDSDJ	135404	2018	>= 225.0 m	1.2808929077385713	1
BY15 GOTLANDSDJ	135404	2019	>= 225.0 m		0
BY15 GOTLANDSDJ	135404	2020	>= 225.0 m	2.57839430623735	3
BY15 GOTLANDSDJ	135404	2021	>= 225.0 m	2.577429388638086	12
BY15 GOTLANDSDJ	135404	2022	>= 225.0 m	2.5761883506829335	10
BY15 GOTLANDSDJ	135404	2023	>= 225.0 m	2.5744446474954104	10
BY15 GOTLANDSDJ	135404	2024	>= 225.0 m	2.5730787703403064	1
BY5 BORNHOLMSDJ	135402	1960	>= 80.0 m	44.17071006151005	4
BY5 BORNHOLMSDJ	135402	1961	>= 80.0 m	27.93117315274079	4
BY5 BORNHOLMSDJ	135402	1962	>= 80.0 m	13.71646781955423	4
BY5 BORNHOLMSDJ	135402	1963	>= 80.0 m	23.658251529148803	2
BY5 BORNHOLMSDJ	135402	1964	>= 80.0 m	20.398850468377013	5
BY5 BORNHOLMSDJ	135402	1965	>= 80.0 m	29.03108710852741	5
BY5 BORNHOLMSDJ	135402	1966	>= 80.0 m	16.459250387168815	5
BY5 BORNHOLMSDJ	135402	1967	>= 80.0 m	19.10570513414851	7
BY5 BORNHOLMSDJ	135402	1968	>= 80.0 m	6.562647664988824	7
BY5 BORNHOLMSDJ	135402	1969	>= 80.0 m	44.220994461317716	7
BY5 BORNHOLMSDJ	135402	1970	>= 80.0 m	17.490860772418586	8
BY5 BORNHOLMSDJ	135402	1971	>= 80.0 m	1.6559186823932746	8
BY5 BORNHOLMSDJ	135402	1972	>= 80.0 m	40.827075984270806	8
BY5 BORNHOLMSDJ	135402	1973	>= 80.0 m	16.876842397294464	7
BY5 BORNHOLMSDJ	135402	1974	>= 80.0 m	17.8108611880861	5
BY5 BORNHOLMSDJ	135402	1975	>= 80.0 m	3.437703600283328	5
BY5 BORNHOLMSDJ	135402	1976	>= 80.0 m	55.19166611762318	6
BY5 BORNHOLMSDJ	135402	1977	>= 80.0 m	21.823646862751467	4
BY5 BORNHOLMSDJ	135402	1978	>= 80.0 m	11.775505982886918	6
BY5 BORNHOLMSDJ	135402	1979	>= 80.0 m	15.35624511401112	5
BY5 BORNHOLMSDJ	135402	1980	>= 80.0 m	43.36952023769504	3
BY5 BORNHOLMSDJ	135402	1981	>= 80.0 m	6.936584985042373	3
BY5 BORNHOLMSDJ	135402	1982	>= 80.0 m	3.1377669423358405	4
BY5 BORNHOLMSDJ	135402	1983	>= 80.0 m	24.80922376361451	5
BY5 BORNHOLMSDJ	135402	1984	>= 80.0 m	8.456824479029443	4
BY5 BORNHOLMSDJ	135402	1985	>= 80.0 m	14.818624602027683	4
BY5 BORNHOLMSDJ	135402	1986	>= 80.0 m	11.544312803667355	4
BY5 BORNHOLMSDJ	135402	1987	>= 80.0 m	3.54518399246382	4
BY5 BORNHOLMSDJ	135402	1988	>= 80.0 m	0.9009855862593068	4
BY5 BORNHOLMSDJ	135402	1989	>= 80.0 m	3.094678914546389	4
BY5 BORNHOLMSDJ	135402	1990	>= 80.0 m	6.331479447376116	3
BY5 BORNHOLMSDJ	135402	1991	>= 80.0 m	23.92314285187193	4
BY5 BORNHOLMSDJ	135402	1992	>= 80.0 m	26.887837961058832	6
BY5 BORNHOLMSDJ	135402	1993	>= 80.0 m	41.70187501850018	8
BY5 BORNHOLMSDJ	135402	1994	>= 80.0 m	26.757635378374417	9
BY5 BORNHOLMSDJ	135402	1995	>= 80.0 m	8.874937652416753	12
BY5 BORNHOLMSDJ	135402	1996	>= 80.0 m	9.379319778677548	11
BY5 BORNHOLMSDJ	135402	1997	>= 80.0 m	13.583863545883842	11
BY5 BORNHOLMSDJ	135402	1998	>= 80.0 m	2.337773149248825	10
BY5 BORNHOLMSDJ	135402	1999	>= 80.0 m	7.170392966892436	12
BY5 BORNHOLMSDJ	135402	2000	>= 80.0 m	11.13818351203069	11
BY5 BORNHOLMSDJ	135402	2001	>= 80.0 m	14.516687201277552	11
BY5 BORNHOLMSDJ	135402	2002	>= 80.0 m	9.882024886813284	11
BY5 BORNHOLMSDJ	135402	2003	>= 80.0 m	40.06817218637673	12
BY5 BORNHOLMSDJ	135402	2004	>= 80.0 m	7.588776575278651	12
BY5 BORNHOLMSDJ	135402	2005	>= 80.0 m	2.017787874130747	11
BY5 BORNHOLMSDJ	135402	2006	>= 80.0 m	10.18933471151296	11
BY5 BORNHOLMSDJ	135402	2007	>= 80.0 m	5.752673706625718	11
BY5 BORNHOLMSDJ	135402	2008	>= 80.0 m	14.390243140253949	12
BY5 BORNHOLMSDJ	135402	2009	>= 80.0 m	12.68845880142917	12
BY5 BORNHOLMSDJ	135402	2010	>= 80.0 m	12.818644558065818	11
BY5 BORNHOLMSDJ	135402	2011	>= 80.0 m	9.514509697654573	10
BY5 BORNHOLMSDJ	135402	2012	>= 80.0 m	12.925495426789796	8
BY5 BORNHOLMSDJ	135402	2013	>= 80.0 m	22.418133050961817	11
BY5 BORNHOLMSDJ	135402	2014	>= 80.0 m	21.37945175781634	10
BY5 BORNHOLMSDJ	135402	2015	>= 80.0 m	32.07086706057666	9
BY5 BORNHOLMSDJ	135402	2016	>= 80.0 m	16.046196348494362	12
BY5 BORNHOLMSDJ	135402	2017	>= 80.0 m	10.194378306349272	11
BY5 BORNHOLMSDJ	135402	2018	>= 80.0 m	7.440943670802747	7
BY5 BORNHOLMSDJ	135402	2019	>= 80.0 m	11.098186621546581	12
BY5 BORNHOLMSDJ	135402	2020	>= 80.0 m	16.416566691467295	12
BY5 BORNHOLMSDJ	135402	2021	>= 80.0 m	5.626971543768927	12
BY5 BORNHOLMSDJ	135402	2022	>= 80.0 m	5.2746456546883	11
BY5 BORNHOLMSDJ	135402	2023	>= 80.0 m	10.201663904217872	12
BY5 BORNHOLMSDJ	135402	2024	>= 80.0 m	31.543444937810882	1
F9 / A13	135300	1968	>= 120.0 m	88.21620920588799	1
F9 / A13	135300	1972	>= 120.0 m	95.11078261758907	1
F9 / A13	135300	1974	>= 120.0 m	89.31912989244154	1
F9 / A13	135300	1975	>= 120.0 m	88.9111199294174	2
F9 / A13	135300	1976	>= 120.0 m	82.86228200335634	2
F9 / A13	135300	1977	>= 120.0 m	92.040087749198	1
F9 / A13	135300	1978	>= 120.0 m	91.86338536873296	2
F9 / A13	135300	1979	>= 120.0 m	89.6782035032596	1
F9 / A13	135300	1980	>= 120.0 m	81.98099613480287	1
F9 / A13	135300	1981	>= 120.0 m	87.19552316684948	2
F9 / A13	135300	1982	>= 120.0 m	87.48598135318873	2
F9 / A13	135300	1983	>= 120.0 m	86.5454354822303	2
F9 / A13	135300	1984	>= 120.0 m	78.65901064703023	1
F9 / A13	135300	1985	>= 120.0 m	80.8824426227092	1
F9 / A13	135300	1986	>= 120.0 m	84.78500716469591	2
F9 / A13	135300	1987	>= 120.0 m	86.57680528510244	1
F9 / A13	135300	1989	>= 120.0 m	84.2011866387266	2
F9 / A13	135300	1990	>= 120.0 m		0
F9 / A13	135300	1992	>= 120.0 m	89.6754807894558	1
F9 / A13	135300	1993	>= 120.0 m	87.7680398830201	1
F9 / A13	135300	1994	>= 120.0 m	80.85734173765286	1
F9 / A13	135300	1995	>= 120.0 m	90.1907285540852	6
F9 / A13	135300	1996	>= 120.0 m	89.4862632623646	7
F9 / A13	135300	1997	>= 120.0 m	86.39498885613679	11
F9 / A13	135300	1998	>= 120.0 m	86.57619894298956	6
F9 / A13	135300	1999	>= 120.0 m	87.02374961540212	4
F9 / A13	135300	2000	>= 120.0 m	85.63280186055424	4
F9 / A13	135300	2001	>= 120.0 m	87.14238495510247	2
F9 / A13	135300	2002	>= 120.0 m	88.20270765910814	5
F9 / A13	135300	2003	>= 120.0 m	89.90858812437561	3
F9 / A13	135300	2004	>= 120.0 m	89.14901148382532	4
F9 / A13	135300	2005	>= 120.0 m	89.86394984852502	4
F9 / A13	135300	2006	>= 120.0 m	88.36676390457306	6
F9 / A13	135300	2007	>= 120.0 m	81.57073733231329	6
F9 / A13	135300	2008	>= 120.0 m	86.90228585274168	7
F9 / A13	135300	2009	>= 120.0 m	88.19543686353734	6
F9 / A13	135300	2010	>= 120.0 m	88.51248176382636	9
F9 / A13	135300	2011	>= 120.0 m	87.48142218811724	4
F9 / A13	135300	2012	>= 120.0 m	91.53351362338658	6
F9 / A13	135300	2013	>= 120.0 m	84.82036785759458	6
F9 / A13	135300	2014	>= 120.0 m	86.44655371722418	6
F9 / A13	135300	2015	>= 120.0 m	88.84383171539024	9
F9 / A13	135300	2016	>= 120.0 m	89.89406326326841	8
F9 / A13	135300	2017	>= 120.0 m	88.58577111370295	9
F9 / A13	135300	2018	>= 120.0 m	85.52071504500223	7
F9 / A13	135300	2019	>= 120.0 m	87.47921828562046	6
F9 / A13	135300	2020	>= 120.0 m	88.09271311903473	10
F9 / A13	135300	2021	>= 120.0 m	89.6896548624392	8
F9 / A13	135300	2022	>= 120.0 m	88.41503508087365	8
FLADEN	157752	1965	>= 70.0 m	75.35251797507439	2
FLADEN	157752	1966	>= 70.0 m	64.34829157734337	3
FLADEN	157752	1967	>= 70.0 m	88.20338126075161	1
FLADEN	157752	1968	>= 70.0 m	78.23187403335675	4
FLADEN	157752	1969	>= 70.0 m	89.6765105482075	3
FLADEN	157752	1970	>= 70.0 m	81.66315018482497	3
FLADEN	157752	1971	>= 70.0 m	93.73399918830394	3
FLADEN	157752	1972	>= 70.0 m	76.1891715972596	2
FLADEN	157752	1973	>= 70.0 m	88.19113033405098	4
FLADEN	157752	1974	>= 70.0 m	79.40475454121288	3
FLADEN	157752	1975	>= 70.0 m	84.07393360599745	4
FLADEN	157752	1976	>= 70.0 m	83.77881961783353	2
FLADEN	157752	1977	>= 70.0 m	80.51817905545468	3
FLADEN	157752	1978	>= 70.0 m	84.08263666595701	4
FLADEN	157752	1979	>= 70.0 m	90.63328878515487	3
FLADEN	157752	1980	>= 70.0 m	81.05678248171111	2
FLADEN	157752	1981	>= 70.0 m	91.44517865358185	2
FLADEN	157752	1982	>= 70.0 m	81.99880615220759	4
FLADEN	157752	1983	>= 70.0 m	85.40697203118792	5
FLADEN	157752	1984	>= 70.0 m	77.59941302197012	4
FLADEN	157752	1985	>= 70.0 m	80.88553059224087	5
FLADEN	157752	1986	>= 70.0 m	74.6313782241727	4
FLADEN	157752	1987	>= 70.0 m	77.13593567417749	5
FLADEN	157752	1988	>= 70.0 m	72.09455062716572	8
FLADEN	157752	1989	>= 70.0 m	84.02526060423516	7
FLADEN	157752	1990	>= 70.0 m	93.08488373153347	4
FLADEN	157752	1991	>= 70.0 m	83.15294815591828	5
FLADEN	157752	1992	>= 70.0 m	77.31605863314974	7
FLADEN	157752	1993	>= 70.0 m	81.97925982803281	10
FLADEN	157752	1994	>= 70.0 m	80.84762742596247	10
FLADEN	157752	1995	>= 70.0 m	79.64110802594536	11
FLADEN	157752	1996	>= 70.0 m	78.83261365733058	12
FLADEN	157752	1997	>= 70.0 m	77.78983450015775	10
FLADEN	157752	1998	>= 70.0 m	79.37742903169443	11
FLADEN	157752	1999	>= 70.0 m	82.04663634443901	12
FLADEN	157752	2000	>= 70.0 m	80.08665997174325	11
FLADEN	157752	2001	>= 70.0 m	79.73349165936956	11
FLADEN	157752	2002	>= 70.0 m	78.79428791630211	11
FLADEN	157752	2003	>= 70.0 m	78.37142833419175	11
FLADEN	157752	2004	>= 70.0 m	83.6126054650624	11
FLADEN	157752	2005	>= 70.0 m	78.0193062774363	10
FLADEN	157752	2006	>= 70.0 m	80.58109708798382	12
FLADEN	157752	2007	>= 70.0 m	82.3097868455332	12
FLADEN	157752	2008	>= 70.0 m	81.54303970187698	12
FLADEN	157752	2009	>= 70.0 m	78.87819190261499	12
FLADEN	157752	2010	>= 70.0 m	77.54225829382874	12
FLADEN	157752	2011	>= 70.0 m	78.56128058644994	10
FLADEN	157752	2012	>= 70.0 m	79.15412732067591	10
FLADEN	157752	2013	>= 70.0 m	80.80259190650953	12
FLADEN	157752	2014	>= 70.0 m	76.48441953388893	10
FLADEN	157752	2015	>= 70.0 m	80.16708341180646	9
FLADEN	157752	2016	>= 70.0 m	76.02433829955484	11
FLADEN	157752	2017	>= 70.0 m	82.65657854915212	11
FLADEN	157752	2018	>= 70.0 m	83.20309700275945	8
FLADEN	157752	2019	>= 70.0 m	83.11534708214414	11
FLADEN	157752	2020	>= 70.0 m	84.01481370594593	12
FLADEN	157752	2021	>= 70.0 m	78.77728515402964	12
FLADEN	157752	2022	>= 70.0 m	78.56502126310473	12
FLADEN	157752	2023	>= 70.0 m	84.52518843718569	10
FLADEN	157752	2024	>= 70.0 m	90.89763582494807	1
MS4 / C14	135428	1961	>= 80.0 m		0
MS4 / C14	135428	1968	>= 80.0 m	61.191028805482475	1
MS4 / C14	135428	1970	>= 80.0 m	58.70296086278687	1
MS4 / C14	135428	1972	>= 80.0 m	68.47688451107271	1
MS4 / C14	135428	1974	>= 80.0 m	68.57345033985223	1
MS4 / C14	135428	1975	>= 80.0 m	72.16608796640955	1
MS4 / C14	135428	1976	>= 80.0 m	57.57147365795651	2
MS4 / C14	135428	1977	>= 80.0 m	70.35354713827948	2
MS4 / C14	135428	1978	>= 80.0 m	67.31141425277346	1
MS4 / C14	135428	1979	>= 80.0 m	53.09177758519445	1
MS4 / C14	135428	1985	>= 80.0 m		0
MS4 / C14	135428	1986	>= 80.0 m		0
MS4 / C14	135428	1987	>= 80.0 m		0
MS4 / C14	135428	1988	>= 80.0 m		0
MS4 / C14	135428	1989	>= 80.0 m		0
MS4 / C14	135428	1992	>= 80.0 m	79.03541666381014	1
MS4 / C14	135428	2000	>= 80.0 m	74.54993110521596	8
MS4 / C14	135428	2001	>= 80.0 m	64.50503672439315	6
MS4 / C14	135428	2002	>= 80.0 m	68.9342145168886	7
MS4 / C14	135428	2003	>= 80.0 m	68.30529553254098	7
MS4 / C14	135428	2004	>= 80.0 m	68.63467915045037	8
MS4 / C14	135428	2005	>= 80.0 m	68.21847463697145	8
MS4 / C14	135428	2006	>= 80.0 m	58.96477807202363	9
MS4 / C14	135428	2007	>= 80.0 m	58.063531616895816	9
MS4 / C14	135428	2008	>= 80.0 m	68.67733113168813	10
MS4 / C14	135428	2009	>= 80.0 m	63.88856157902067	10
MS4 / C14	135428	2010	>= 80.0 m	57.216100566945386	8
MS4 / C14	135428	2011	>= 80.0 m	55.790894477261396	10
MS4 / C14	135428	2012	>= 80.0 m	68.89421914606223	10
MS4 / C14	135428	2013	>= 80.0 m	61.72705516673097	9
MS4 / C14	135428	2014	>= 80.0 m	65.2117947552112	8
MS4 / C14	135428	2015	>= 80.0 m	67.42010742188442	9
MS4 / C14	135428	2016	>= 80.0 m	60.9677437866069	10
MS4 / C14	135428	2017	>= 80.0 m	57.08454386197601	10
MS4 / C14	135428	2018	>= 80.0 m	61.61066260147587	10
MS4 / C14	135428	2019	>= 80.0 m	58.04778136880678	10
MS4 / C14	135428	2020	>= 80.0 m	61.34709921188362	10
MS4 / C14	135428	2021	>= 80.0 m	69.52607638051099	9
MS4 / C14	135428	2022	>= 80.0 m	59.752979150071496	9
Å13	135873	1960	>= 75.0 m		0
Å13	135873	1961	>= 75.0 m		0
Å13	135873	1962	>= 75.0 m		0
Å13	135873	1963	>= 75.0 m		0
Å13	135873	1964	>= 75.0 m		0
Å13	135873	1965	>= 75.0 m		0
Å13	135873	1966	>= 75.0 m	93.14158549390797	1
Å13	135873	1967	>= 75.0 m		0
Å13	135873	1968	>= 75.0 m	98.34298272892865	3
Å13	135873	1969	>= 75.0 m	94.93236751774396	3
Å13	135873	1970	>= 75.0 m	92.87526559216897	5
Å13	135873	1971	>= 75.0 m	92.31968834790757	3
Å13	135873	1972	>= 75.0 m	95.55304397000891	3
Å13	135873	1973	>= 75.0 m	92.21046991320519	4
Å13	135873	1974	>= 75.0 m	82.55709388670664	1
Å13	135873	1975	>= 75.0 m	93.51189539195816	5
Å13	135873	1976	>= 75.0 m	93.81155437478157	3
Å13	135873	1977	>= 75.0 m	99.19125388904408	1
Å13	135873	1978	>= 75.0 m	87.89099692474888	3
Å13	135873	1979	>= 75.0 m	93.73723858522278	2
Å13	135873	1980	>= 75.0 m	93.02796792204998	3
Å13	135873	1981	>= 75.0 m	97.7995802883314	3
Å13	135873	1982	>= 75.0 m	95.16331515905671	1
Å13	135873	1983	>= 75.0 m	93.89079041015214	2
Å13	135873	1984	>= 75.0 m	88.91786881615121	3
Å13	135873	1985	>= 75.0 m	88.95243182873531	4
Å13	135873	1986	>= 75.0 m	91.76719257064335	4
Å13	135873	1987	>= 75.0 m	90.04365530137201	5
Å13	135873	1988	>= 75.0 m	87.70737687120486	5
Å13	135873	1989	>= 75.0 m	89.73648627940318	5
Å13	135873	1990	>= 75.0 m	99.45891842457398	3
Å13	135873	1991	>= 75.0 m	84.61404167496052	2
Å13	135873	1992	>= 75.0 m	96.80543593124086	3
Å13	135873	1994	>= 75.0 m	96.12548152467718	1
Å13	135873	1995	>= 75.0 m	83.84429233385553	1
Å13	135873	1999	>= 75.0 m	88.75796016572119	5
Å13	135873	2000	>= 75.0 m	88.85391484262809	10
Å13	135873	2001	>= 75.0 m	89.75293507533395	11
Å13	135873	2002	>= 75.0 m	88.36898744178625	11
Å13	135873	2003	>= 75.0 m	90.068840970886	12
Å13	135873	2004	>= 75.0 m	92.11222288978993	10
Å13	135873	2005	>= 75.0 m	90.80128254853462	10
Å13	135873	2006	>= 75.0 m	91.64700793097909	12
Å13	135873	2007	>= 75.0 m	90.08529417696151	12
Å13	135873	2008	>= 75.0 m	91.8941334580827	12
Å13	135873	2009	>= 75.0 m	91.35809355579693	12
Å13	135873	2010	>= 75.0 m	86.7289593514276	12
Å13	135873	2011	>= 75.0 m	90.07488703764979	10
Å13	135873	2012	>= 75.0 m	88.91790170655139	11
Å13	135873	2013	>= 75.0 m	88.9252727341079	12
Å13	135873	2014	>= 75.0 m	88.98612119902988	9
Å13	135873	2015	>= 75.0 m	88.99600839717883	10
Å13	135873	2016	>= 75.0 m	86.71450409834269	11
Å13	135873	2017	>= 75.0 m	94.04433964170111	11
Å13	135873	2018	>= 75.0 m	89.22719299588803	9
Å13	135873	2019	>= 75.0 m	91.43869135258792	10
Å13	135873	2020	>= 75.0 m	89.87785154727275	12
Å13	135873	2021	>= 75.0 m	89.04194478640953	12
Å13	135873	2022	>= 75.0 m	89.95200819279911	12
Å13	135873	2023	>= 75.0 m	90.26975321274861	10
Å13	135873	2024	>= 75.0 m	88.72504978904772	1
