STATN	REG_ID	YEAR	MONTH	Depth_interval	mean	count
BY15 GOTLANDSDJ	135404	1963	1	0-10 m		0
BY15 GOTLANDSDJ	135404	1963	8	0-10 m		0
BY15 GOTLANDSDJ	135404	1963	10	0-10 m		0
BY15 GOTLANDSDJ	135404	1964	1	0-10 m		0
BY15 GOTLANDSDJ	135404	1964	4	0-10 m		0
BY15 GOTLANDSDJ	135404	1964	8	0-10 m		0
BY15 GOTLANDSDJ	135404	1964	11	0-10 m		0
BY15 GOTLANDSDJ	135404	1965	1	0-10 m		0
BY15 GOTLANDSDJ	135404	1965	4	0-10 m		0
BY15 GOTLANDSDJ	135404	1965	6	0-10 m		0
BY15 GOTLANDSDJ	135404	1965	8	0-10 m		0
BY15 GOTLANDSDJ	135404	1965	12	0-10 m		0
BY15 GOTLANDSDJ	135404	1966	5	0-10 m		0
BY15 GOTLANDSDJ	135404	1966	8	0-10 m		0
BY15 GOTLANDSDJ	135404	1966	11	0-10 m		0
BY15 GOTLANDSDJ	135404	1967	2	0-10 m		0
BY15 GOTLANDSDJ	135404	1967	6	0-10 m		0
BY15 GOTLANDSDJ	135404	1967	12	0-10 m		0
BY15 GOTLANDSDJ	135404	1968	2	0-10 m	0.7166666666666667	1
BY15 GOTLANDSDJ	135404	1968	6	0-10 m	0.51	1
BY15 GOTLANDSDJ	135404	1968	9	0-10 m	0.34	1
BY15 GOTLANDSDJ	135404	1968	11	0-10 m	0.4166666666666667	1
BY15 GOTLANDSDJ	135404	1968	12	0-10 m		0
BY15 GOTLANDSDJ	135404	1969	1	0-10 m	0.4266666666666667	1
BY15 GOTLANDSDJ	135404	1969	4	0-10 m	0.5566666666666666	1
BY15 GOTLANDSDJ	135404	1969	11	0-10 m	0.29833333333333334	2
BY15 GOTLANDSDJ	135404	1970	1	0-10 m	0.4258333333333334	2
BY15 GOTLANDSDJ	135404	1970	6	0-10 m	0.3141666666666667	2
BY15 GOTLANDSDJ	135404	1970	9	0-10 m	0.38666666666666666	1
BY15 GOTLANDSDJ	135404	1970	10	0-10 m	0.21	1
BY15 GOTLANDSDJ	135404	1971	1	0-10 m	0.36000000000000004	1
BY15 GOTLANDSDJ	135404	1971	4	0-10 m	0.5266666666666667	1
BY15 GOTLANDSDJ	135404	1971	6	0-10 m	0.43	1
BY15 GOTLANDSDJ	135404	1971	7	0-10 m		0
BY15 GOTLANDSDJ	135404	1971	8	0-10 m	0.4366666666666667	1
BY15 GOTLANDSDJ	135404	1971	12	0-10 m	0.45999999999999996	1
BY15 GOTLANDSDJ	135404	1972	3	0-10 m	0.5233333333333333	1
BY15 GOTLANDSDJ	135404	1972	5	0-10 m	0.68	1
BY15 GOTLANDSDJ	135404	1972	6	0-10 m		0
BY15 GOTLANDSDJ	135404	1972	7	0-10 m	0.5	1
BY15 GOTLANDSDJ	135404	1972	8	0-10 m	0.44333333333333336	1
BY15 GOTLANDSDJ	135404	1972	10	0-10 m	0.55	1
BY15 GOTLANDSDJ	135404	1972	11	0-10 m	0.45	1
BY15 GOTLANDSDJ	135404	1973	1	0-10 m	0.69	1
BY15 GOTLANDSDJ	135404	1973	5	0-10 m	0.44333333333333336	1
BY15 GOTLANDSDJ	135404	1973	6	0-10 m	0.39	1
BY15 GOTLANDSDJ	135404	1973	9	0-10 m	0.4166666666666667	2
BY15 GOTLANDSDJ	135404	1974	2	0-10 m		0
BY15 GOTLANDSDJ	135404	1974	6	0-10 m	0.41	1
BY15 GOTLANDSDJ	135404	1974	9	0-10 m	0.3933333333333333	1
BY15 GOTLANDSDJ	135404	1974	11	0-10 m	0.3766666666666667	1
BY15 GOTLANDSDJ	135404	1975	3	0-10 m	0.7050000000000001	1
BY15 GOTLANDSDJ	135404	1975	6	0-10 m	0.605	1
BY15 GOTLANDSDJ	135404	1975	9	0-10 m	0.43999999999999995	1
BY15 GOTLANDSDJ	135404	1975	11	0-10 m	0.45	1
BY15 GOTLANDSDJ	135404	1976	3	0-10 m	0.9766666666666666	1
BY15 GOTLANDSDJ	135404	1976	5	0-10 m	0.8566666666666666	1
BY15 GOTLANDSDJ	135404	1976	6	0-10 m	0.5433333333333333	1
BY15 GOTLANDSDJ	135404	1976	8	0-10 m	0.4366666666666667	1
BY15 GOTLANDSDJ	135404	1976	11	0-10 m	0.5366666666666666	1
BY15 GOTLANDSDJ	135404	1977	2	0-10 m	0.785	1
BY15 GOTLANDSDJ	135404	1977	3	0-10 m	0.8266666666666667	1
BY15 GOTLANDSDJ	135404	1977	6	0-10 m	0.6466666666666666	1
BY15 GOTLANDSDJ	135404	1977	7	0-10 m		0
BY15 GOTLANDSDJ	135404	1977	11	0-10 m	0.5449999999999999	1
BY15 GOTLANDSDJ	135404	1978	1	0-10 m	0.645	1
BY15 GOTLANDSDJ	135404	1978	5	0-10 m	0.7266666666666667	1
BY15 GOTLANDSDJ	135404	1978	6	0-10 m		0
BY15 GOTLANDSDJ	135404	1978	8	0-10 m	0.49	1
BY15 GOTLANDSDJ	135404	1978	11	0-10 m	0.37333333333333335	1
BY15 GOTLANDSDJ	135404	1979	1	0-10 m	0.5666666666666668	1
BY15 GOTLANDSDJ	135404	1979	6	0-10 m	0.43000000000000005	1
BY15 GOTLANDSDJ	135404	1979	7	0-10 m	0.45999999999999996	1
BY15 GOTLANDSDJ	135404	1979	8	0-10 m	0.4633333333333334	1
BY15 GOTLANDSDJ	135404	1979	10	0-10 m	0.41	1
BY15 GOTLANDSDJ	135404	1979	11	0-10 m	0.5375	1
