STATN	REG_ID	YEAR	Depth_interval	mean	count
BY15 GOTLANDSDJ	135404	1963	0-10 m		0
BY15 GOTLANDSDJ	135404	1964	0-10 m		0
BY15 GOTLANDSDJ	135404	1965	0-10 m		0
BY15 GOTLANDSDJ	135404	1966	0-10 m		0
BY15 GOTLANDSDJ	135404	1967	0-10 m		0
BY15 GOTLANDSDJ	135404	1968	0-10 m	0.49583333333333335	4
BY15 GOTLANDSDJ	135404	1969	0-10 m	0.4272222222222222	3
BY15 GOTLANDSDJ	135404	1970	0-10 m	0.33416666666666667	4
BY15 GOTLANDSDJ	135404	1971	0-10 m	0.44266666666666665	5
BY15 GOTLANDSDJ	135404	1972	0-10 m	0.5244444444444445	6
BY15 GOTLANDSDJ	135404	1973	0-10 m	0.485	4
BY15 GOTLANDSDJ	135404	1974	0-10 m	0.3933333333333333	3
BY15 GOTLANDSDJ	135404	1975	0-10 m	0.55	4
BY15 GOTLANDSDJ	135404	1976	0-10 m	0.6699999999999999	5
BY15 GOTLANDSDJ	135404	1977	0-10 m	0.7008333333333333	4
BY15 GOTLANDSDJ	135404	1978	0-10 m	0.55875	4
BY15 GOTLANDSDJ	135404	1979	0-10 m	0.4779166666666667	6
BY15 GOTLANDSDJ	135404	1980	0-10 m	0.6083333333333334	3
BY15 GOTLANDSDJ	135404	1981	0-10 m	0.6088888888888889	3
BY15 GOTLANDSDJ	135404	1982	0-10 m	0.5402083333333333	4
BY15 GOTLANDSDJ	135404	1983	0-10 m	0.5989583333333334	4
BY15 GOTLANDSDJ	135404	1984	0-10 m	0.6812499999999999	4
BY15 GOTLANDSDJ	135404	1985	0-10 m	0.6260416666666666	4
BY15 GOTLANDSDJ	135404	1986	0-10 m	0.4716666666666667	4
BY15 GOTLANDSDJ	135404	1987	0-10 m	0.665	4
BY15 GOTLANDSDJ	135404	1988	0-10 m	0.5539583333333333	4
BY15 GOTLANDSDJ	135404	1989	0-10 m	0.5604166666666667	4
BY15 GOTLANDSDJ	135404	1990	0-10 m	0.61375	4
BY15 GOTLANDSDJ	135404	1991	0-10 m	0.6129166666666667	4
BY15 GOTLANDSDJ	135404	1992	0-10 m	0.7533333333333333	4
BY15 GOTLANDSDJ	135404	1993	0-10 m	0.5977604166666667	8
BY15 GOTLANDSDJ	135404	1994	0-10 m	0.5935714285714285	7
BY15 GOTLANDSDJ	135404	1995	0-10 m	0.5988636363636364	11
BY15 GOTLANDSDJ	135404	1996	0-10 m	0.5923611111111111	12
BY15 GOTLANDSDJ	135404	1997	0-10 m	0.4905555555555556	9
BY15 GOTLANDSDJ	135404	1998	0-10 m	0.5162878787878789	11
BY15 GOTLANDSDJ	135404	1999	0-10 m	0.5118181818181818	11
BY15 GOTLANDSDJ	135404	2000	0-10 m	0.547878787878788	11
BY15 GOTLANDSDJ	135404	2001	0-10 m	0.4488333333333333	10
BY15 GOTLANDSDJ	135404	2002	0-10 m	0.584	10
BY15 GOTLANDSDJ	135404	2003	0-10 m	0.5833333333333334	12
BY15 GOTLANDSDJ	135404	2004	0-10 m	0.635	12
BY15 GOTLANDSDJ	135404	2005	0-10 m	0.7877272727272726	11
BY15 GOTLANDSDJ	135404	2006	0-10 m	0.6795454545454546	11
BY15 GOTLANDSDJ	135404	2007	0-10 m	0.7248611111111112	12
BY15 GOTLANDSDJ	135404	2008	0-10 m	0.8063888888888888	12
BY15 GOTLANDSDJ	135404	2009	0-10 m	0.7097222222222221	12
BY15 GOTLANDSDJ	135404	2010	0-10 m	0.7480555555555556	12
BY15 GOTLANDSDJ	135404	2011	0-10 m	0.73	10
BY15 GOTLANDSDJ	135404	2012	0-10 m	0.7255555555555556	3
BY15 GOTLANDSDJ	135404	2013	0-10 m	0.505	8
BY15 GOTLANDSDJ	135404	2014	0-10 m	0.7658333333333334	10
BY15 GOTLANDSDJ	135404	2015	0-10 m	0.8407407407407407	9
BY15 GOTLANDSDJ	135404	2016	0-10 m	0.8438888888888889	12
BY15 GOTLANDSDJ	135404	2017	0-10 m	0.9463333333333335	10
BY15 GOTLANDSDJ	135404	2018	0-10 m	0.790952380952381	7
BY15 GOTLANDSDJ	135404	2019	0-10 m	0.7252777777777778	12
BY15 GOTLANDSDJ	135404	2020	0-10 m	0.8588888888888889	12
BY15 GOTLANDSDJ	135404	2021	0-10 m	0.8297222222222222	12
BY15 GOTLANDSDJ	135404	2022	0-10 m	0.6926666666666667	10
BY15 GOTLANDSDJ	135404	2023	0-10 m	0.7904166666666667	8
BY15 GOTLANDSDJ	135404	2024	0-10 m		0
BY5 BORNHOLMSDJ	135402	1960	0-10 m		0
BY5 BORNHOLMSDJ	135402	1961	0-10 m		0
BY5 BORNHOLMSDJ	135402	1962	0-10 m		0
BY5 BORNHOLMSDJ	135402	1963	0-10 m		0
BY5 BORNHOLMSDJ	135402	1964	0-10 m		0
BY5 BORNHOLMSDJ	135402	1965	0-10 m		0
BY5 BORNHOLMSDJ	135402	1966	0-10 m		0
BY5 BORNHOLMSDJ	135402	1967	0-10 m		0
BY5 BORNHOLMSDJ	135402	1968	0-10 m	0.37875	4
BY5 BORNHOLMSDJ	135402	1969	0-10 m	0.4766666666666666	3
BY5 BORNHOLMSDJ	135402	1970	0-10 m	0.425	6
BY5 BORNHOLMSDJ	135402	1971	0-10 m	0.5691666666666666	4
BY5 BORNHOLMSDJ	135402	1972	0-10 m	0.5525	8
BY5 BORNHOLMSDJ	135402	1973	0-10 m	0.5380952380952381	7
BY5 BORNHOLMSDJ	135402	1974	0-10 m	0.577	5
BY5 BORNHOLMSDJ	135402	1975	0-10 m	0.6318888888888889	5
BY5 BORNHOLMSDJ	135402	1976	0-10 m	0.7780555555555556	6
BY5 BORNHOLMSDJ	135402	1977	0-10 m	0.6213333333333333	5
BY5 BORNHOLMSDJ	135402	1978	0-10 m	0.6977777777777777	3
BY5 BORNHOLMSDJ	135402	1979	0-10 m	0.5181666666666667	5
BY5 BORNHOLMSDJ	135402	1980	0-10 m	0.5666666666666667	3
BY5 BORNHOLMSDJ	135402	1981	0-10 m	0.7633333333333333	3
BY5 BORNHOLMSDJ	135402	1982	0-10 m	0.6039583333333334	4
BY5 BORNHOLMSDJ	135402	1983	0-10 m	0.755	4
BY5 BORNHOLMSDJ	135402	1984	0-10 m	0.745625	4
BY5 BORNHOLMSDJ	135402	1985	0-10 m	0.7314583333333333	4
BY5 BORNHOLMSDJ	135402	1986	0-10 m	0.6475	4
BY5 BORNHOLMSDJ	135402	1987	0-10 m	0.783125	4
BY5 BORNHOLMSDJ	135402	1988	0-10 m	0.531875	4
BY5 BORNHOLMSDJ	135402	1989	0-10 m	0.7927083333333333	4
BY5 BORNHOLMSDJ	135402	1990	0-10 m	0.8497916666666667	4
BY5 BORNHOLMSDJ	135402	1991	0-10 m	0.6727083333333334	4
BY5 BORNHOLMSDJ	135402	1992	0-10 m	0.7848611111111111	6
BY5 BORNHOLMSDJ	135402	1993	0-10 m	0.7049826388888889	8
BY5 BORNHOLMSDJ	135402	1994	0-10 m	0.6756944444444444	9
BY5 BORNHOLMSDJ	135402	1995	0-10 m	0.6660416666666666	12
BY5 BORNHOLMSDJ	135402	1996	0-10 m	0.5575	12
BY5 BORNHOLMSDJ	135402	1997	0-10 m	0.565	11
BY5 BORNHOLMSDJ	135402	1998	0-10 m	0.5742424242424242	11
BY5 BORNHOLMSDJ	135402	1999	0-10 m	0.6123611111111111	12
BY5 BORNHOLMSDJ	135402	2000	0-10 m	0.6428787878787879	11
BY5 BORNHOLMSDJ	135402	2001	0-10 m	0.5468181818181818	11
BY5 BORNHOLMSDJ	135402	2002	0-10 m	0.6740909090909091	11
BY5 BORNHOLMSDJ	135402	2003	0-10 m	0.46787878787878784	11
BY5 BORNHOLMSDJ	135402	2004	0-10 m	0.6430555555555556	12
BY5 BORNHOLMSDJ	135402	2005	0-10 m	1.039848484848485	11
BY5 BORNHOLMSDJ	135402	2006	0-10 m	0.7739393939393939	11
BY5 BORNHOLMSDJ	135402	2007	0-10 m	0.8993939393939393	11
BY5 BORNHOLMSDJ	135402	2008	0-10 m	0.9431944444444444	12
BY5 BORNHOLMSDJ	135402	2009	0-10 m	0.85875	12
BY5 BORNHOLMSDJ	135402	2010	0-10 m	0.7509090909090909	11
BY5 BORNHOLMSDJ	135402	2011	0-10 m	0.7586666666666667	10
BY5 BORNHOLMSDJ	135402	2012	0-10 m	0.9133333333333333	8
BY5 BORNHOLMSDJ	135402	2013	0-10 m	0.7209090909090908	11
BY5 BORNHOLMSDJ	135402	2014	0-10 m	0.8316666666666667	10
BY5 BORNHOLMSDJ	135402	2015	0-10 m	0.9662962962962963	9
BY5 BORNHOLMSDJ	135402	2016	0-10 m	0.9258333333333333	12
BY5 BORNHOLMSDJ	135402	2017	0-10 m	0.9507575757575757	11
BY5 BORNHOLMSDJ	135402	2018	0-10 m	0.9861904761904762	7
BY5 BORNHOLMSDJ	135402	2019	0-10 m	0.7561111111111112	12
BY5 BORNHOLMSDJ	135402	2020	0-10 m	0.9777777777777777	12
BY5 BORNHOLMSDJ	135402	2021	0-10 m	0.8944444444444444	12
BY5 BORNHOLMSDJ	135402	2022	0-10 m	0.771	10
BY5 BORNHOLMSDJ	135402	2023	0-10 m	0.9033333333333333	8
BY5 BORNHOLMSDJ	135402	2024	0-10 m		0
F9 / A13	135300	1968	0-10 m	0.14333333333333334	1
F9 / A13	135300	1970	0-10 m	0.21	1
F9 / A13	135300	1972	0-10 m		0
F9 / A13	135300	1974	0-10 m	0.325	1
F9 / A13	135300	1975	0-10 m	0.30000000000000004	2
F9 / A13	135300	1976	0-10 m	0.26166666666666666	2
F9 / A13	135300	1977	0-10 m	0.2833333333333333	2
F9 / A13	135300	1978	0-10 m	0.2783333333333333	2
F9 / A13	135300	1979	0-10 m	0.18375	2
F9 / A13	135300	1980	0-10 m	0.21	2
F9 / A13	135300	1981	0-10 m	0.19	2
F9 / A13	135300	1982	0-10 m	0.33291666666666664	2
F9 / A13	135300	1983	0-10 m	0.38166666666666665	3
F9 / A13	135300	1984	0-10 m	0.24333333333333335	2
F9 / A13	135300	1985	0-10 m	0.24625	2
F9 / A13	135300	1986	0-10 m	0.2575	3
F9 / A13	135300	1987	0-10 m	0.31375000000000003	2
F9 / A13	135300	1988	0-10 m	0.2575	1
F9 / A13	135300	1989	0-10 m	0.2575	3
F9 / A13	135300	1990	0-10 m	0.1875	1
F9 / A13	135300	1991	0-10 m	0.3	1
F9 / A13	135300	1992	0-10 m	0.24	5
F9 / A13	135300	1993	0-10 m	0.17186666666666667	10
F9 / A13	135300	1994	0-10 m	0.1622727272727273	11
F9 / A13	135300	1995	0-10 m	0.17874074074074076	9
F9 / A13	135300	1996	0-10 m	0.16823232323232326	11
F9 / A13	135300	1997	0-10 m	0.1390909090909091	11
F9 / A13	135300	1998	0-10 m	0.14458333333333334	8
F9 / A13	135300	1999	0-10 m	0.13291666666666668	8
F9 / A13	135300	2000	0-10 m	0.159	10
F9 / A13	135300	2001	0-10 m	0.17416666666666666	10
F9 / A13	135300	2002	0-10 m	0.15685185185185185	9
F9 / A13	135300	2003	0-10 m	0.13216666666666668	10
F9 / A13	135300	2004	0-10 m	0.13208333333333333	8
F9 / A13	135300	2005	0-10 m	0.1542857142857143	7
F9 / A13	135300	2006	0-10 m	0.14520833333333333	8
F9 / A13	135300	2007	0-10 m	0.16685185185185186	9
F9 / A13	135300	2008	0-10 m	0.16104166666666667	8
F9 / A13	135300	2009	0-10 m	0.1687037037037037	9
F9 / A13	135300	2010	0-10 m	0.1888888888888889	9
F9 / A13	135300	2011	0-10 m	0.17572916666666666	8
F9 / A13	135300	2012	0-10 m	0.18108024691358027	9
F9 / A13	135300	2013	0-10 m	0.186	10
F9 / A13	135300	2014	0-10 m	0.1898148148148148	9
F9 / A13	135300	2015	0-10 m	0.1751851851851852	9
F9 / A13	135300	2016	0-10 m	0.18766666666666668	10
F9 / A13	135300	2017	0-10 m	0.17537037037037037	9
F9 / A13	135300	2018	0-10 m	0.18916666666666665	10
F9 / A13	135300	2019	0-10 m	0.215	9
F9 / A13	135300	2020	0-10 m	0.225	10
F9 / A13	135300	2021	0-10 m	0.2579166666666667	8
F9 / A13	135300	2022	0-10 m	0.20966666666666667	10
FLADEN	157752	1965	0-10 m		0
FLADEN	157752	1966	0-10 m		0
FLADEN	157752	1967	0-10 m		0
FLADEN	157752	1968	0-10 m	0.45791666666666664	4
FLADEN	157752	1969	0-10 m	0.5008333333333332	4
FLADEN	157752	1970	0-10 m	0.46333333333333326	5
FLADEN	157752	1971	0-10 m	0.5775	4
FLADEN	157752	1972	0-10 m	0.529	5
FLADEN	157752	1973	0-10 m	0.6558333333333333	4
FLADEN	157752	1974	0-10 m	0.7688888888888888	3
FLADEN	157752	1975	0-10 m	0.6613888888888889	6
FLADEN	157752	1976	0-10 m	0.7029166666666666	4
FLADEN	157752	1977	0-10 m	0.6172222222222222	6
FLADEN	157752	1978	0-10 m	0.6705555555555556	6
FLADEN	157752	1979	0-10 m	0.611111111111111	3
FLADEN	157752	1980	0-10 m	0.770625	4
FLADEN	157752	1981	0-10 m	0.7691666666666667	3
FLADEN	157752	1982	0-10 m	0.6809999999999999	5
FLADEN	157752	1983	0-10 m	0.792	5
FLADEN	157752	1984	0-10 m	0.7948333333333334	5
FLADEN	157752	1985	0-10 m	0.7485	5
FLADEN	157752	1986	0-10 m	0.7253333333333334	5
FLADEN	157752	1987	0-10 m	0.73	5
FLADEN	157752	1988	0-10 m	0.7040625	8
FLADEN	157752	1989	0-10 m	0.7209548611111111	8
FLADEN	157752	1990	0-10 m	0.7906666666666666	5
FLADEN	157752	1991	0-10 m	0.7032936507936508	7
FLADEN	157752	1992	0-10 m	0.725	6
FLADEN	157752	1993	0-10 m	0.5551666666666667	10
FLADEN	157752	1994	0-10 m	0.6102083333333334	8
FLADEN	157752	1995	0-10 m	0.6369318181818181	11
FLADEN	157752	1996	0-10 m	0.5510984848484849	11
FLADEN	157752	1997	0-10 m	0.5557575757575758	11
FLADEN	157752	1998	0-10 m	0.6291287878787878	11
