SWEREFID	Stationskoordinat N/X	Stationskoordinat E/Y	Provdatum	Yr	Mo	Day	pH	Alk/Acid (mekv/l)	Cl (mekv/l)	TOC (mg/l)	Abs._F (420nm/5cm)	NO2+NO3-N (?g/l)	Tot-P (?g/l)	SO4* mekv/l	BC* mekv/l	ANC mekv/l
6585489-420879	6585489	420879	2652480000	1988	1	20	6.38	0.11	0.126	7.6	0.142	260	34	0.128022	0.342014	0.196428571
6585489-420879	6585489	420879	2683756800	1989	1	16	6.35	0.139	0.151	8.9	0.122	225	33	0.126447	0.363239	0.221928571
6585489-420879	6585489	420879	2715811200	1990	1	22	6.55	0.145	0.143	7.2	0.061	183	28	0.138271	0.344127	0.193928571
6585489-420879	6585489	420879	2747001600	1991	1	18	6.49	0.139	0.161	7.6	0.092	290	50	0.153417	0.355129	0.182285714
6585489-420879	6585489	420879	2778105600	1992	1	13	6.59	0.149	0.165	7.3	0.088	242	33	0.144005	0.361685	0.201714286
6585489-420879	6585489	420879	2809900800	1993	1	15	6.62	0.159	0.168	7.4	0.091	201	28	0.139696	0.378352	0.225642857
6585489-420879	6585489	420879	2841609600	1994	1	17	6.63	0.151	0.187	7.5	0.096	212	26	0.134739	0.382243	0.233857143
6585489-420879	6585489	420879	2873059200	1995	1	16	6.68	0.157	0.174	7.8	0.107	224	25	0.121078	0.382686	0.247
6585489-420879	6585489	420879	2904508800	1996	1	15	6.29	0.188	0.219	7	0.069	113	20	0.135443	0.384691	0.242928571
6585489-420879	6585489	420879	2935958400	1997	1	13	6.83	0.169	0.192	8.5	0.091	230	27	0.123224	0.386688	0.248571429
6585489-420879	6585489	420879	2967494400	1998	1	13	6.65	0.175	0.172	8.2	0.093	185	21	0.113284	0.399908	0.274785714
6585489-420879	6585489	420879	2998944000	1999	1	12	6.76	0.174	0.176	8	0.117	267	25	0.104872	0.371464	0.248928571
6585489-420879	6585489	420879	3030912000	2000	1	17	6.75	0.164	0.168	8.6	0.131	246	29	0.101696	0.356352	0.238428571
6585489-420879	6585489	420879	3062448000	2001	1	16	6.49	0.139	0.14	11.1	0.181	246	42	0.07658	0.35146	0.258428571
6585489-420879	6585489	420879	3093897600	2002	1	15	6.68	0.158	0.149	14.1	0.153	231	47	0.082653	0.373461	0.2755
6585489-420879	6585489	420879	3125433600	2003	1	15	6.53	0.19	0.146	7.4	0.088	156	27	0.080962	0.392794	0.301857143
6585489-420879	6585489	420879	3156883200	2004	1	14	6.79	0.192	0.187	7.8	0.096	277	25	0.087739	0.372243	0.266214286
6585489-420879	6585489	420879	3188764800	2005	1	17	6.76	0.157	0.175	7.8	0.13	261	40	0.078975	0.358575	0.262357143
6585489-420879	6585489	420879	3220214400	2006	1	16	6.76	0.171	0.196	11.8	0.1	2	34	0.086812	0.354244	0.268857143
6585489-420879	6585489	420879	3251664000	2007	1	15	6.72	0.158	0.155	11.9	0.123	87	58	0.068035	0.365795	0.292785714
6585489-420879	6585489	420879	3283200000	2008	1	15	6.79	0.165	0.17	18.8	0.139	263	47	0.07149	0.34113	0.252214286
6585489-420879	6585489	420879	3314736000	2009	1	14	6.79	0.188	0.158	9.9	0.135	184	33	0.070726	0.397462	0.314857143
6585489-420879	6585489	420879	3346185600	2010	1	13	6.81	0.182	0.146	15.6	0.149	128	31	0.055962	0.362794	0.298857143
6585489-420879	6585489	420879	3378067200	2011	1	17	6.79	0.204	0.22	14	0.158	162	46	0.04834	0.37058	0.312428571
6585489-420879	6585489	420879	3409516800	2012	1	16	6.86	0.187	0.15	10.2	0.193	220	42	0.04755	0.37035	0.308285714
6585489-420879	6585489	420879	3441052800	2013	1	15	6.83	0.187	0.145	10.1	0.163	153	28	0.046065	0.319705	0.263871429
6585489-420879	6585489	420879	3472588800	2014	1	15	6.85	0.186	0.153	10.2	0.169	199	45	0.048241	0.347917	0.286685714
6585489-420879	6585489	420879	3504038400	2015	1	14	6.8	0.174	0.161	11	0.175	178	38.6	0.047417	0.346829	0.287985714
6585489-420879	6585489	420879	3535488000	2016	1	13	6.86	0.176	0.143	10.6	0.18	196	40	0.046271	0.354127	0.295
6585489-420879	6585489	420879	3567369600	2017	1	16	6.82	0.195	0.17	9.1	0.12	238	38.7	0.05149	0.32913	0.262
