"date","variable","decimaldate","month","decimal_during","smooth","var","by_var","fs_var","data","derivative","se","crit","lower","upper","signif","sign","signif_sign","Provplats_ID","name","trend"
1972-06-15,11,1972.45355191257,6,0.4535519125684,"s(decimaldate)","decimaldate",NA,NA,1972.45355191257,1.30123308184925,0.371852769381493,1.95996398454005,0.572415046310048,2.03005111738846,TRUE,1,1,135300,"mean",10.2878291345565
1974-11-15,12.4,1974.87123287671,11,0.871232876712384,"s(decimaldate)","decimaldate",NA,NA,1974.87123287671,1.34358626048078,0.274708063635746,1.95996398454005,0.805168349491977,1.88200417146958,TRUE,1,1,135300,"mean",13.4679217734906
1975-05-15,9,1975.36712328767,5,0.36712328767112,"s(decimaldate)","decimaldate",NA,NA,1975.36712328767,1.35734114875465,0.259206362927528,1.95996398454005,0.84930601285308,1.86537628465623,TRUE,1,1,135300,"mean",14.1379002045563
1975-12-15,19.6666666666667,1975.95342465753,12,0.953424657534242,"s(decimaldate)","decimaldate",NA,NA,1975.95342465753,1.33439584461928,0.23852096004016,1.95996398454005,0.866903353382654,1.80188833585591,TRUE,1,1,135300,"mean",14.9303991240112
1976-09-15,10.3333333333333,1976.70491803279,9,0.704918032786964,"s(decimaldate)","decimaldate",NA,NA,1976.70491803279,1.23523576626031,0.226152793302954,1.95996398454005,0.791984436383386,1.67848709613723,TRUE,1,1,135300,"mean",15.8990575807438
1976-11-15,18.5,1976.87158469945,11,0.871584699453479,"s(decimaldate)","decimaldate",NA,NA,1976.87158469945,1.20475034484452,0.22316542483581,1.95996398454005,0.767354149571749,1.64214654011728,TRUE,1,1,135300,"mean",16.1024720567203
1977-06-15,21,1977.45205479452,6,0.452054794520564,"s(decimaldate)","decimaldate",NA,NA,1977.45205479452,1.06229535150639,0.210051834949889,1.95996398454005,0.650601320118052,1.47398938289472,TRUE,1,1,135300,"mean",16.7629568801359
1977-11-15,19,1977.87123287671,11,0.871232876712384,"s(decimaldate)","decimaldate",NA,NA,1977.87123287671,0.937581842507103,0.205463093782716,1.95996398454005,0.534881578540805,1.3402821064734,TRUE,1,1,135300,"mean",17.18232532431
1978-05-15,22.5333333333333,1978.36712328767,5,0.36712328767112,"s(decimaldate)","decimaldate",NA,NA,1978.36712328767,0.787213001188194,0.202922669595501,1.95996398454005,0.389491877134291,1.1849341252421,TRUE,1,1,135300,"mean",17.6099111767992
1978-08-15,12.7,1978.61917808219,8,0.619178082191866,"s(decimaldate)","decimaldate",NA,NA,1978.61917808219,0.715423030911989,0.200072799561074,1.95996398454005,0.323287549486182,1.1075585123378,TRUE,1,1,135300,"mean",17.7991077158571
1979-06-15,21.05,1979.45205479452,6,0.452054794520564,"s(decimaldate)","decimaldate",NA,NA,1979.45205479452,0.50849691042669,0.192726730131485,1.95996398454005,0.130759460510809,0.886234360342572,TRUE,1,1,135300,"mean",18.3065221053139
1979-11-15,19.8,1979.87123287671,11,0.871232876712384,"s(decimaldate)","decimaldate",NA,NA,1979.87123287671,0.423266245666268,0.193013323147726,1.95996398454005,0.0449670837603338,0.801565407572203,TRUE,1,1,135300,"mean",18.5010650155321
