"date","variable","decimaldate","month","decimal_during","smooth","var","by_var","fs_var","data","derivative","se","crit","lower","upper","signif","sign","signif_sign","Provplats_ID","name","trend"
1965-08-15,4.93,1965.61917808219,8,0.619178082191866,"s(decimaldate)","decimaldate",NA,NA,1965.61917808219,-0.0163262048350147,0.00904452420765389,1.95996398454005,-0.034053146539317,0.00140073686928757,FALSE,-1,0,157752,"mean",5.68007697628996
1965-09-15,4.94,1965.70410958904,9,0.704109589041082,"s(decimaldate)","decimaldate",NA,NA,1965.70410958904,-0.0162955305553998,0.00902166260843762,1.95996398454005,-0.0339776643486092,0.00138660323780963,FALSE,-1,0,157752,"mean",5.67869123837576
1966-05-15,6.34,1966.36712328767,5,0.36712328767112,"s(decimaldate)","decimaldate",NA,NA,1966.36712328767,-0.0158306154242633,0.00867538919976403,1.95996398454005,-0.0328340658076686,0.00117283495914192,FALSE,-1,0,157752,"mean",5.66804302404869
1966-08-15,3.37,1966.61917808219,8,0.619178082191866,"s(decimaldate)","decimaldate",NA,NA,1966.61917808219,-0.0156684938154757,0.00855472309663773,1.95996398454005,-0.0324354429825986,0.00109845535164725,FALSE,-1,0,157752,"mean",5.66407363733401
1966-09-15,3.51,1966.70410958904,9,0.704109589041082,"s(decimaldate)","decimaldate",NA,NA,1966.70410958904,-0.0156132663975605,0.00851362381781295,1.95996398454005,-0.0322996624583962,0.0010731296632753,FALSE,-1,0,157752,"mean",5.66274519288018
1967-12-15,5.57,1967.95342465753,12,0.953424657534242,"s(decimaldate)","decimaldate",NA,NA,1967.95342465753,-0.0147857091623083,0.00789851182227628,1.95996398454005,-0.0302665078654336,0.00069508954081709,FALSE,-1,0,157752,"mean",5.64376304832203
1968-02-15,6.75,1968.12295081967,2,0.122950819672042,"s(decimaldate)","decimaldate",NA,NA,1968.12295081967,-0.0146769850296543,0.00781780255125674,1.95996398454005,-0.0299995964683629,0.00064562640905425,FALSE,-1,0,157752,"mean",5.64126567032096
1968-06-15,6.31,1968.45355191257,6,0.4535519125684,"s(decimaldate)","decimaldate",NA,NA,1968.45355191257,-0.0144655477488096,0.00766091963156477,1.95996398454005,-0.0294806743151324,0.000549578817513215,FALSE,-1,0,157752,"mean",5.63644849847764
1968-09-15,4.27,1968.70491803279,9,0.704918032786964,"s(decimaldate)","decimaldate",NA,NA,1968.70491803279,-0.0143064213977512,0.00754292191884921,1.95996398454005,-0.0290902766968934,0.000477433901390972,FALSE,-1,0,157752,"mean",5.63283236738112
1968-11-15,3.8,1968.87158469945,11,0.871584699453479,"s(decimaldate)","decimaldate",NA,NA,1968.87158469945,-0.014201568282967,0.00746520477539547,1.95996398454005,-0.0288331007799586,0.000429964214024525,FALSE,-1,0,157752,"mean",5.63045669464129
1969-01-15,6.25,1969.03835616438,1,0.0383561643834582,"s(decimaldate)","decimaldate",NA,NA,1969.03835616438,-0.0140972217904351,0.00738788868771403,1.95996398454005,-0.0285772175401454,0.000382773959275322,FALSE,-1,0,157752,"mean",5.62809699024744
1969-04-15,5.47,1969.28493150685,4,0.284931506849261,"s(decimaldate)","decimaldate",NA,NA,1969.28493150685,-0.0139440424442897,0.00727444185068539,1.95996398454005,-0.028201686479264,0.000313601590684526,FALSE,-1,0,157752,"mean",5.6246398649313
1969-11-15,6.21,1969.87123287671,11,0.871232876712384,"s(decimaldate)","decimaldate",NA,NA,1969.87123287671,-0.013584461786366,0.00700839662003311,1.95996398454005,-0.0273206667510031,0.000151743178271165,FALSE,-1,0,157752,"mean",5.61657021721128
1970-01-15,6.06,1970.03835616438,1,0.0383561643834582,"s(decimaldate)","decimaldate",NA,NA,1970.03835616438,-0.0134833185548668,0.00693363306457274,1.95996398454005,-0.0270729896434454,0.000106352533711891,FALSE,-1,0,157752,"mean",5.61430840561105
1970-05-15,6.64,1970.36712328767,5,0.36712328767112,"s(decimaldate)","decimaldate",NA,NA,1970.36712328767,-0.01328561462016,0.00678758572766011,1.95996398454005,-0.0265890381883519,1.78089480319509e-05,FALSE,-1,0,157752,"mean",5.60990809709949
1970-09-15,4.11,1970.70410958904,9,0.704109589041082,"s(decimaldate)","decimaldate",NA,NA,1970.70410958904,-0.0130855247032452,0.00663991305715444,1.95996398454005,-0.0260995151557451,-7.15342507452438e-05,TRUE,-1,-1,157752,"mean",5.60546479687423
1971-01-15,5.93,1971.03835616438,1,0.0383561643834582,"s(decimaldate)","decimaldate",NA,NA,1971.03835616438,-0.0128891759908574,0.00649514427731738,1.95996398454005,-0.0256194248487909,-0.000158927132923878,TRUE,-1,-1,157752,"mean",5.60112388980819
1971-04-15,6.83,1971.28493150685,4,0.284931506849261,"s(decimaldate)","decimaldate",NA,NA,1971.28493150685,-0.012745755107596,0.00638949196084874,1.95996398454005,-0.0252689292303678,-0.000222580984824283,TRUE,-1,-1,157752,"mean",5.59796344155181
1971-11-15,6,1971.87123287671,11,0.871232876712384,"s(decimaldate)","decimaldate",NA,NA,1971.87123287671,-0.0124098709457854,0.00614239664361954,1.95996398454005,-0.0244487471460394,-0.00037099474553141,TRUE,-1,-1,157752,"mean",5.59058940777285
1972-04-15,5.425,1972.2868852459,4,0.286885245901658,"s(decimaldate)","decimaldate",NA,NA,1972.2868852459,-0.0121759187337664,0.00597059617064088,1.95996398454005,-0.0238780721944553,-0.00047376527307749,TRUE,-1,-1,157752,"mean",5.5854799983992
1972-08-15,4.8825,1972.62021857923,8,0.620218579234916,"s(decimaldate)","decimaldate",NA,NA,1972.62021857923,-0.0119907202305746,0.00583479020350244,1.95996398454005,-0.0234266988867865,-0.000554741574362727,TRUE,-1,-1,157752,"mean",5.58145231029742
1973-01-15,6.61,1973.03835616438,1,0.0383561643834582,"s(decimaldate)","decimaldate",NA,NA,1973.03835616438,-0.011761802337433,0.00566718195111895,1.95996398454005,-0.0228692748554616,-0.000654329819404441,TRUE,-1,-1,157752,"mean",5.57648655085362
1973-04-15,6.475,1973.28493150685,4,0.284931506849261,"s(decimaldate)","decimaldate",NA,NA,1973.28493150685,-0.0116284048341066,0.00556965352680065,1.95996398454005,-0.0225447251530024,-0.000712084515210836,TRUE,-1,-1,157752,"mean",5.57360287699943
1973-05-15,5.93,1973.36712328767,5,0.36712328767112,"s(decimaldate)","decimaldate",NA,NA,1973.36712328767,-0.0115840950421029,0.00553727946236458,1.95996398454005,-0.0224369633606707,-0.00073122672353498,TRUE,-1,-1,157752,"mean",5.57264894187324
1973-10-15,5.055,1973.78630136986,10,0.78630136986294,"s(decimaldate)","decimaldate",NA,NA,1973.78630136986,-0.011360969921479,0.00537446100681371,1.95996398454005,-0.0218947199311487,-0.00082721991180921,TRUE,-1,-1,157752,"mean",5.56784003228981
1974-02-15,7.165,1974.12328767123,2,0.123287671232902,"s(decimaldate)","decimaldate",NA,NA,1974.12328767123,-0.011184154616802,0.00524567830533321,1.95996398454005,-0.0214654951697382,-0.000902814063865756,TRUE,-1,-1,157752,"mean",5.56404141074626
1974-09-15,3.98,1974.70410958904,9,0.704109589041082,"s(decimaldate)","decimaldate",NA,NA,1974.70410958904,-0.0108847717081592,0.00502816943952902,1.95996398454005,-0.020739802717801,-0.00102974069851734,TRUE,-1,-1,157752,"mean",5.55763269318388
1974-11-15,4.81,1974.87123287671,11,0.871232876712384,"s(decimaldate)","decimaldate",NA,NA,1974.87123287671,-0.0108000063123161,0.00496671817240314,1.95996398454005,-0.0205345950515869,-0.00106541757304537,TRUE,-1,-1,157752,"mean",5.55582068914673
1975-05-15,6.54,1975.36712328767,5,0.36712328767112,"s(decimaldate)","decimaldate",NA,NA,1975.36712328767,-0.010551510019049,0.0047869375782617,1.95996398454005,-0.0199337352686833,-0.00116928476941473,TRUE,-1,-1,157752,"mean",5.5505268970402
1975-06-15,5.58,1975.45205479452,6,0.452054794520564,"s(decimaldate)","decimaldate",NA,NA,1975.45205479452,-0.0105094498088585,0.00475656963670262,1.95996398454005,-0.0198321549867524,-0.00118674463096458,TRUE,-1,-1,157752,"mean",5.54963252420012
1975-09-15,4.265,1975.70410958904,9,0.704109589041082,"s(decimaldate)","decimaldate",NA,NA,1975.70410958904,-0.0103856789601356,0.00466730000045695,1.95996398454005,-0.0195334188660749,-0.00123793905419616,TRUE,-1,-1,157752,"mean",5.54699919139348
1975-12-15,6.375,1975.95342465753,12,0.953424657534242,"s(decimaldate)","decimaldate",NA,NA,1975.95342465753,-0.0102643004532198,0.00457991490299528,1.95996398454005,-0.0192407687153488,-0.00128783219109081,TRUE,-1,-1,157752,"mean",5.54442504001145
1976-02-15,6.85,1976.12295081967,2,0.122950819672042,"s(decimaldate)","decimaldate",NA,NA,1976.12295081967,-0.0101825421567471,0.00452114376451058,1.95996398454005,-0.0190438211041157,-0.00132126320937852,TRUE,-1,-1,157752,"mean",5.54269189612067
1976-09-15,4.595,1976.70491803279,9,0.704918032786964,"s(decimaldate)","decimaldate",NA,NA,1976.70491803279,-0.00990654617099005,0.00432333920578653,1.95996398454005,-0.0183801353072817,-0.00143295703469844,TRUE,-1,-1,157752,"mean",5.53684659702253
1977-03-15,6.605,1977.2,3,0.200000000000045,"s(decimaldate)","decimaldate",NA,NA,1977.2,-0.00967723535813149,0.00415977281707629,1.95996398454005,-0.0178302402634697,-0.00152423045279324,TRUE,-1,-1,157752,"mean",5.53199901874242
1977-05-15,5.93,1977.36712328767,5,0.36712328767112,"s(decimaldate)","decimaldate",NA,NA,1977.36712328767,-0.00960090889010263,0.00410550155774257,1.95996398454005,-0.0176475440817511,-0.0015542736984541,TRUE,-1,-1,157752,"mean",5.53038811900206
1977-06-15,5.61,1977.45205479452,6,0.452054794520564,"s(decimaldate)","decimaldate",NA,NA,1977.45205479452,-0.00956229912567391,0.0040780786747843,1.95996398454005,-0.017555186454372,-0.00156941179697585,TRUE,-1,-1,157752,"mean",5.52957433963706
1977-09-15,4.28,1977.70410958904,9,0.704109589041082,"s(decimaldate)","decimaldate",NA,NA,1977.70410958904,-0.00944875144075888,0.00399757258948433,1.95996398454005,-0.0172838497417327,-0.00161365313978507,TRUE,-1,-1,157752,"mean",5.52717844783867
1978-03-15,5.745,1978.2,3,0.200000000000045,"s(decimaldate)","decimaldate",NA,NA,1978.2,-0.00922913222136131,0.00384249871456415,1.95996398454005,-0.0167602913125485,-0.00169797313017412,TRUE,-1,-1,157752,"mean",5.52254755984601
1978-05-15,6.05,1978.36712328767,5,0.36712328767112,"s(decimaldate)","decimaldate",NA,NA,1978.36712328767,-0.00915625480288884,0.0037912363094399,1.95996398454005,-0.0165869414262716,-0.00172556817950608,TRUE,-1,-1,157752,"mean",5.52101125612846
1978-10-15,4.955,1978.78630136986,10,0.78630136986294,"s(decimaldate)","decimaldate",NA,NA,1978.78630136986,-0.00897592112530135,0.00366484439208955,1.95996398454005,-0.0161588841427405,-0.00179295810786224,TRUE,-1,-1,157752,"mean",5.51721108091702
1978-11-15,5.52,1978.87123287671,11,0.871232876712384,"s(decimaldate)","decimaldate",NA,NA,1978.87123287671,-0.00893976146820551,0.00363958810197895,1.95996398454005,-0.0160732230666447,-0.00180629986976628,TRUE,-1,-1,157752,"mean",5.51645027727972
1979-01-15,5.69,1979.03835616438,1,0.0383561643834582,"s(decimaldate)","decimaldate",NA,NA,1979.03835616438,-0.00886917839551293,0.00359036558010741,1.95996398454005,-0.0159061656238557,-0.00183219116717014,TRUE,-1,-1,157752,"mean",5.51496213495578
1979-03-15,7.59,1979.2,3,0.200000000000045,"s(decimaldate)","decimaldate",NA,NA,1979.2,-0.00880144706449184,0.00354324243392425,1.95996398454005,-0.0157460746234774,-0.00185681950550627,TRUE,-1,-1,157752,"mean",5.5135339668796
