"date","variable","decimaldate","month","decimal_during","smooth","var","by_var","fs_var","data","derivative","se","crit","lower","upper","signif","sign","signif_sign","Provplats_ID","name","trend"
1963-01-15,2.09676470581992,1963.03835616438,1,0.0383561643834582,"s(decimaldate)","decimaldate",NA,NA,1963.03835616438,-4.01501905438283,9.27760340109548,1.95996398454005,-22.1987875833763,14.1687494746106,FALSE,-1,0,135404,"mean",1.31168878005561
1963-08-15,0,1963.61917808219,8,0.619178082191866,"s(decimaldate)","decimaldate",NA,NA,1963.61917808219,7.6127157746972,6.79536290081663,1.95996398454005,-5.70595077278301,20.9313823221774,FALSE,1,0,135404,"mean",1.23081327263052
1963-10-15,0,1963.78630136986,10,0.78630136986294,"s(decimaldate)","decimaldate",NA,NA,1963.78630136986,14.499273479856,7.01339287180843,1.95996398454005,0.753276041681579,28.2452709180305,TRUE,1,1,135404,"mean",3.07475495365292
1964-01-15,2.22342267588472,1964.03825136612,1,0.0382513661202211,"s(decimaldate)","decimaldate",NA,NA,1964.03825136612,21.758056317803,6.33412114545123,1.95996398454005,9.34340699900501,34.172705636601,TRUE,1,1,135404,"mean",7.78460987262828
1964-04-15,23.917353533021,1964.2868852459,4,0.286885245901658,"s(decimaldate)","decimaldate",NA,NA,1964.2868852459,16.0603327899205,5.96407656631424,1.95996398454005,4.37095751890525,27.7497080609357,TRUE,1,1,135404,"mean",12.8926657969284
1964-08-15,13.5508046390108,1964.62021857923,8,0.620218579234916,"s(decimaldate)","decimaldate",NA,NA,1964.62021857923,3.18411369061671,5.76056403896621,1.95996398454005,-8.10638435639365,14.4746117376271,FALSE,1,0,135404,"mean",15.6727258764868
1964-11-15,11.3923603470132,1964.87158469945,11,0.871584699453479,"s(decimaldate)","decimaldate",NA,NA,1964.87158469945,1.75181484577357,6.28846808820164,1.95996398454005,-10.5733561250311,14.0769858165782,FALSE,1,0,135404,"mean",16.1940499376136
1965-01-15,15.2533330833029,1965.03835616438,1,0.0383561643834582,"s(decimaldate)","decimaldate",NA,NA,1965.03835616438,-0.315113665782873,6.05407912117393,1.95996398454005,-12.1808907028397,11.5506633712739,FALSE,-1,0,135404,"mean",16.3856381379327
1965-04-15,24.1250478510573,1965.28493150685,4,0.284931506849261,"s(decimaldate)","decimaldate",NA,NA,1965.28493150685,-10.2959531570305,5.92909781755613,1.95996398454005,-21.9167713402556,1.32486502619451,FALSE,-1,0,135404,"mean",15.1992565426715
1965-06-15,12.5689565158877,1965.45205479452,6,0.452054794520564,"s(decimaldate)","decimaldate",NA,NA,1965.45205479452,-16.7224849282739,6.70417649406393,1.95996398454005,-29.8624294026392,-3.58254045390862,TRUE,-1,-1,135404,"mean",12.8730496615326
1965-08-15,7.79279400557818,1965.61917808219,8,0.619178082191866,"s(decimaldate)","decimaldate",NA,NA,1965.61917808219,-18.0399094049358,5.99160547719733,1.95996398454005,-29.7832403498155,-6.29657846005611,TRUE,-1,-1,135404,"mean",9.89011009734129
